Field	Date	Plot	Location	Treatment	Plant	Pod_number
site_2	22.06.2013	1	Crop	Crop	1	55
site_2	22.06.2013	1	Crop	Crop	2	52
site_2	22.06.2013	1	Crop	Crop	3	51
site_2	22.06.2013	1	Crop	Crop	4	51
site_2	22.06.2013	1	Crop	Crop	5	34
site_2	22.06.2013	2	Crop	Crop	1	53
site_2	22.06.2013	2	Crop	Crop	2	52
site_2	22.06.2013	2	Crop	Crop	3	44
site_2	22.06.2013	2	Crop	Crop	4	61
site_2	22.06.2013	2	Crop	Crop	5	51
site_2	22.06.2013	C	Crop	Control_Crop	1	53
site_2	22.06.2013	C	Crop	Control_Crop	2	43
site_2	22.06.2013	C	Crop	Control_Crop	3	51
site_2	22.06.2013	C	Crop	Control_Crop	4	43
site_2	22.06.2013	C	Crop	Control_Crop	5	47
site_2	22.06.2013	4	Crop	Crop	1	46
site_2	22.06.2013	4	Crop	Crop	2	30
site_2	22.06.2013	4	Crop	Crop	3	42
site_2	22.06.2013	4	Crop	Crop	4	51
site_2	22.06.2013	4	Crop	Crop	5	42
site_2	22.06.2013	3	Crop	Crop	1	42
site_2	22.06.2013	3	Crop	Crop	2	49
site_2	22.06.2013	3	Crop	Crop	3	47
site_2	22.06.2013	3	Crop	Crop	4	48
site_2	22.06.2013	3	Crop	Crop	5	40
site_2	22.06.2013	1	Crop	Crop	1	23
site_2	22.06.2013	1	Crop	Crop	2	40
site_2	22.06.2013	1	Crop	Crop	3	42
site_2	22.06.2013	1	Crop	Crop	4	47
site_2	22.06.2013	1	Crop	Crop	5	30
site_2	22.06.2013	4	Edge	Edge	1	50
site_2	22.06.2013	4	Edge	Edge	2	43
site_2	22.06.2013	4	Edge	Edge	3	37
site_2	22.06.2013	4	Edge	Edge	4	50
site_2	22.06.2013	4	Edge	Edge	5	41
site_2	22.06.2013	2	Edge	Edge	1	49
site_2	22.06.2013	2	Edge	Edge	2	31
site_2	22.06.2013	2	Edge	Edge	3	41
site_2	22.06.2013	2	Edge	Edge	4	38
site_2	22.06.2013	2	Edge	Edge	5	3
site_2	22.06.2013	C	Edge	Control_Edge	1	42
site_2	22.06.2013	C	Edge	Control_Edge	2	15
site_2	22.06.2013	C	Edge	Control_Edge	3	10
site_2	22.06.2013	C	Edge	Control_Edge	4	18
site_2	22.06.2013	C	Edge	Control_Edge	5	16
site_2	22.06.2013	3	Edge	Edge	1	40
site_2	22.06.2013	3	Edge	Edge	2	49
