pollinator,matched_name,rank
Anoplolepis_sp_1_,Anoplolepis_sp_1_,morphospecies
Anoplolepis_sp_2_,Anoplolepis_sp_2_,morphospecies
Camponotus_sp_1__,Camponotus_sp_1__,morphospecies
Formicidae.sp...Black.size.3..monomorium.cf..,Formicidae.sp...Black.size.3..monomorium.cf..,morphospecies
Formicidae_sp2__bunduda_,Formicidae_sp2__bunduda_,morphospecies
Tetramorium_sp_1_,Tetramorium_sp_1_,morphospecies
Lepisiota_sp_2_,Lepisiota_sp_2_,morphospecies
Macrocoma_sp__near_apicicornis,Macrocoma_sp__near_apicicornis,morphospecies
Agromyzidae_sp1,Agromyzidae_sp1,morphospecies
ALLECULINAE_sp1,ALLECULINAE_sp1,morphospecies
Apionidae_sp1,Apionidae_sp1,morphospecies
Bruchidius_sp__1,Bruchidius_sp__1,morphospecies
Bruchidius_sp__2,Bruchidius_sp__2,morphospecies
Bruchidius_sp__near_mendosus__Gyllenhal_,Bruchidius_sp__near_mendosus__Gyllenhal_,morphospecies
Caliophoridae_spx,Caliophoridae_spx,morphospecies
Caliophoridae_sp1,Caliophoridae_sp1,morphospecies
Caliophoridae_sp2,Caliophoridae_sp2,morphospecies
Caliophoridae_sp3,Caliophoridae_sp3,morphospecies
Ceratina.sp...inc._labrosa_Friese.,Ceratina.sp...inc._labrosa_Friese.,morphospecies
Diptera_spZ.size.1,Diptera_spZ.size.1,morphospecies
Diptera_spY.size.1,Diptera_spY.size.1,morphospecies
Heteroptera_10_mm_sp1,Heteroptera_10_mm_sp1,morphospecies
heteroptera_sp3,heteroptera_sp3,morphospecies
Lasioglossum_sp1_cf_,Lasioglossum_sp1_cf_,morphospecies
Malachiinae_sp1,Malachiinae_sp1,morphospecies
Pagurodactylus_sp2,Pagurodactylus_sp2,morphospecies
Syritta_sp1,Syritta_sp1,morphospecies
Braconidae_sp,Braconidae,family
Chalcidoidea_sp_,Chalcidoidea,superfamily
Hippodamia.variegata..goeze.,Hippodamia,species
Heteroptera_2mm,Heteroptera,species
Heteroptera_5mm,Heteroptera,species
Microgastrinae,Microgastrinae,subfamily
Sarcophagidae.sp,Sarcophagidae,family
Muscidae..inc.musca_domestica_l.,Muscidae,family
Pompilidae_cf,Pompilidae,family
Staphilinidae_sp_,Staphylinidae,family
Syrphidae_sp_,Syrphidae,family
Vespidae_sp_,Vespidae,family
Isoconia_haematopota_cf,NA,NA
Apis_mellifera,NA,species
Belanogaster_sp_,NA,NA
Chrysidae,NA,NA
Chrysomya_marginalis__Wiedemann_,NA,species
Hippodamia.variegata..Goeze.,NA,species
Exochomus_troberti_Mulsant_1850,NA,species
Harmonia_axyridis_I_158,NA,species
Monolepta_ursulae_Wagner_2003,NA,species
Muscidae..inc.Musca_domestica_L.,NA,NA
Nitulidae_sp_,NA,NA
Pedinorrhina__Chondrorrhina__trivittata__Schaum,NA,species
POMPILIDAE_cf,NA,NA
talvez_Allograpta_calopus_,NA,NA
