Field	Day	Month	Year	Time	Stage	Plot	Location	Treatment	Plants_per_m2
site_14	10	5	2013	1	green_bud	1	Crop	Crop	9
site_14	10	5	2013	1	green_bud	2	Crop	Crop	12
site_14	10	5	2013	1	green_bud	3	Crop	Crop	13
site_14	10	5	2013	1	green_bud	4	Crop	Crop	13
site_14	10	5	2013	1	green_bud	C	Crop	Control_Crop	14
site_14	10	5	2013	1	green_bud	1	Edge	Edge	18
site_14	10	5	2013	1	green_bud	2	Edge	Edge	13
site_14	10	5	2013	1	green_bud	3	Edge	Edge	15
site_14	10	5	2013	1	green_bud	4	Edge	Edge	11
site_14	10	5	2013	1	green_bud	C	Edge	Control_Edge	18
site_13	10	5	2013	1	green_bud	1	Crop	Crop	52
site_13	10	5	2013	1	green_bud	2	Crop	Crop	48
site_13	10	5	2013	1	green_bud	3	Crop	Crop	43
site_13	10	5	2013	1	green_bud	4	Crop	Crop	33
site_13	10	5	2013	1	green_bud	C	Crop	Control_Crop	62
site_13	10	5	2013	1	green_bud	1	Edge	Edge	61
site_13	10	5	2013	1	green_bud	2	Edge	Edge	60
site_13	10	5	2013	1	green_bud	3	Edge	Edge	59
site_13	10	5	2013	1	green_bud	4	Edge	Edge	44
site_13	10	5	2013	1	green_bud	C	Edge	Control_Edge	43
site_12	10	5	2013	1	green_bud	1	Crop	Crop	4
site_12	10	5	2013	1	green_bud	2	Crop	Crop	1
site_12	10	5	2013	1	green_bud	3	Crop	Crop	0
site_12	10	5	2013	1	green_bud	4	Crop	Crop	0
site_12	10	5	2013	1	green_bud	C	Crop	Control_Crop	1
site_12	10	5	2013	1	green_bud	1	Edge	Edge	2
site_12	10	5	2013	1	green_bud	2	Edge	Edge	0
site_12	10	5	2013	1	green_bud	3	Edge	Edge	2
site_12	10	5	2013	1	green_bud	4	Edge	Edge	2
site_12	10	5	2013	1	green_bud	C	Edge	Control_Edge	4
site_11	10	5	2013	1	green_bud	1	Crop	Crop	5
site_11	10	5	2013	1	green_bud	2	Crop	Crop	4
site_11	10	5	2013	1	green_bud	3	Crop	Crop	6
site_11	10	5	2013	1	green_bud	4	Crop	Crop	6
site_11	10	5	2013	1	green_bud	C	Crop	Control_Crop	3
site_11	10	5	2013	1	green_bud	1	Edge	Edge	6
site_11	10	5	2013	1	green_bud	2	Edge	Edge	5
site_11	10	5	2013	1	green_bud	3	Edge	Edge	8
site_11	10	5	2013	1	green_bud	4	Edge	Edge	20
site_11	10	5	2013	1	green_bud	C	Edge	Control_Edge	5
site_10	10	5	2013	1	green_bud	1	Crop	Crop	13
site_10	10	5	2013	1	green_bud	2	Crop	Crop	10
site_10	10	5	2013	1	green_bud	3	Crop	Crop	11
site_10	10	5	2013	1	green_bud	4	Crop	Crop	8
site_10	10	5	2013	1	green_bud	C	Crop	Control_Crop	8
site_10	10	5	2013	1	green_bud	1	Edge	Edge	12
site_10	10	5	2013	1	green_bud	2	Edge	Edge	8
site_10	10	5	2013	1	green_bud	3	Edge	Edge	12
site_10	10	5	2013	1	green_bud	4	Edge	Edge	11
site_10	10	5	2013	1	green_bud	C	Edge	Control_Edge	11
site_9	9	5	2013	1	green_bud	1	Crop	Crop	25
site_9	9	5	2013	1	green_bud	2	Crop	Crop	29
site_9	9	5	2013	1	green_bud	3	Crop	Crop	37
site_9	9	5	2013	1	green_bud	4	Crop	Crop	39
site_9	9	5	2013	1	green_bud	C	Crop	Control_Crop	29
site_9	9	5	2013	1	green_bud	1	Edge	Edge	28
site_9	9	5	2013	1	green_bud	2	Edge	Edge	26
site_9	9	5	2013	1	green_bud	3	Edge	Edge	40
site_9	9	5	2013	1	green_bud	4	Edge	Edge	29
site_9	9	5	2013	1	green_bud	C	Edge	Control_Edge	41
site_8	9	5	2013	1	green_bud	1	Crop	Crop	8
site_8	9	5	2013	1	green_bud	2	Crop	Crop	12
site_8	9	5	2013	1	green_bud	3	Crop	Crop	9
site_8	9	5	2013	1	green_bud	4	Crop	Crop	9
site_8	9	5	2013	1	green_bud	C	Crop	Control_Crop	10
site_8	9	5	2013	1	green_bud	1	Edge	Edge	10
site_8	9	5	2013	1	green_bud	2	Edge	Edge	7
site_8	9	5	2013	1	green_bud	3	Edge	Edge	15
site_8	9	5	2013	1	green_bud	4	Edge	Edge	5
site_8	9	5	2013	1	green_bud	C	Edge	Control_Edge	7
site_7	9	5	2013	1	green_bud	1	Crop	Crop	24
site_7	9	5	2013	1	green_bud	2	Crop	Crop	21
site_7	9	5	2013	1	green_bud	3	Crop	Crop	21
site_7	9	5	2013	1	green_bud	4	Crop	Crop	26
site_7	9	5	2013	1	green_bud	C	Crop	Control_Crop	26
site_7	9	5	2013	1	green_bud	1	Edge	Edge	32
site_7	9	5	2013	1	green_bud	2	Edge	Edge	34
site_7	9	5	2013	1	green_bud	3	Edge	Edge	22
site_7	9	5	2013	1	green_bud	4	Edge	Edge	16
site_7	9	5	2013	1	green_bud	C	Edge	Control_Edge	19
site_6	9	5	2013	1	green_bud	1	Crop	Crop	19
site_6	9	5	2013	1	green_bud	2	Crop	Crop	28
site_6	9	5	2013	1	green_bud	3	Crop	Crop	26
site_6	9	5	2013	1	green_bud	4	Crop	Crop	26
site_6	9	5	2013	1	green_bud	C	Crop	Control_Crop	29
site_6	9	5	2013	1	green_bud	1	Edge	Edge	17
site_6	9	5	2013	1	green_bud	2	Edge	Edge	23
site_6	9	5	2013	1	green_bud	3	Edge	Edge	23
site_6	9	5	2013	1	green_bud	4	Edge	Edge	20
site_6	9	5	2013	1	green_bud	C	Edge	Control_Edge	27
site_5	9	5	2013	1	green_bud	1	Crop	Crop	32
site_5	9	5	2013	1	green_bud	2	Crop	Crop	26
site_5	9	5	2013	1	green_bud	3	Crop	Crop	33
site_5	9	5	2013	1	green_bud	4	Crop	Crop	25
site_5	9	5	2013	1	green_bud	C	Crop	Control_Crop	28
site_5	9	5	2013	1	green_bud	1	Edge	Edge	29
site_5	9	5	2013	1	green_bud	2	Edge	Edge	26
site_5	9	5	2013	1	green_bud	3	Edge	Edge	22
site_5	9	5	2013	1	green_bud	4	Edge	Edge	30
site_5	9	5	2013	1	green_bud	C	Edge	Control_Edge	33
site_4	8	5	2013	1	green_bud	1	Crop	Crop	21
site_4	8	5	2013	1	green_bud	2	Crop	Crop	22
site_4	8	5	2013	1	green_bud	3	Crop	Crop	13
site_4	8	5	2013	1	green_bud	4	Crop	Crop	31
site_4	8	5	2013	1	green_bud	C	Crop	Control_Crop	28
site_4	8	5	2013	1	green_bud	1	Edge	Edge	30
site_4	8	5	2013	1	green_bud	2	Edge	Edge	36
site_4	8	5	2013	1	green_bud	3	Edge	Edge	33
site_4	8	5	2013	1	green_bud	4	Edge	Edge	21
site_4	8	5	2013	1	green_bud	C	Edge	Control_Edge	27
site_3	8	5	2013	1	green_bud	1	Crop	Crop	27
site_3	8	5	2013	1	green_bud	2	Crop	Crop	28
site_3	8	5	2013	1	green_bud	3	Crop	Crop	30
site_3	8	5	2013	1	green_bud	4	Crop	Crop	29
site_3	8	5	2013	1	green_bud	C	Crop	Control_Crop	28
site_3	8	5	2013	1	green_bud	1	Edge	Edge	13
site_3	8	5	2013	1	green_bud	2	Edge	Edge	13
