system_ID	Richness	E_var	visits_wild_insects	log_visits_wild_insects	visits_honey_bees	CV_visits_wild_insects	CV_visits_honey_bees	fruit_set	pollen_dep	CV_fruit_set	CV_pollen_dep
Acerola	-1,36533	2,24425	-1,34847	-1,38754	NA	0,52202	NA	-0,31564	NA	0,37022	NA
Acerola	0,19505	0,60607	-1,08852	-1,09126	NA	-0,92081	NA	-1,77000	NA	-0,88274	NA
Acerola	0,19505	-0,37319	-0,95855	-0,94683	NA	2,16416	NA	0,65926	NA	-0,82979	NA
Acerola	0,19505	-0,80043	0,21121	0,25491	NA	-0,28241	NA	1,52228	NA	-0,21282	NA
Acerola	-1,36533	-0,60631	0,27619	0,31703	NA	-0,68587	NA	0,37158	NA	-1,45511	NA
Acerola	0,19505	-0,39785	0,73110	0,73981	NA	-0,44964	NA	-0,87501	NA	0,93601	NA
Acerola	0,19505	-0,15739	0,92606	0,91487	NA	0,26407	NA	0,32363	NA	1,35742	NA
Acerola	1,75543	-0,51515	1,25099	1,19901	NA	-0,61151	NA	0,08391	NA	0,71682	NA
Almond	-1,40793	NA	-0,90177	NA	1,33651	NA	-0,95874	-0,21532	NA	0,45736	NA
Almond	-1,24015	-1,77981	-0,87670	-2,19967	0,77034	1,54416	-0,65447	-0,83913	NA	-0,23125	NA
Almond	-1,07236	-1,45115	-0,85162	-1,68561	0,03765	1,54416	-0,98934	-1,19791	NA	-0,58254	NA
Almond	-1,24015	-0,36037	-0,85162	-1,68561	-0,72835	1,54416	1,16159	-0,82414	NA	0,18577	NA
Almond	-0,73679	-0,70848	-0,75130	-0,87085	-0,26209	-0,70768	0,02492	-1,50041	NA	0,05411	NA
Almond	-0,56901	-0,61715	-0,67606	-0,57015	0,43730	-0,70768	0,43826	NA	NA	NA	NA
Almond	-0,90458	1,55526	-0,67606	-0,57015	-1,39443	0,04293	-0,38841	-0,42660	NA	1,80898	NA
Almond	-1,07236	-1,20453	-0,65098	-0,49201	1,26991	-1,15805	0,44839	-0,12834	NA	1,19446	NA
Almond	0,26991	0,08126	-0,60082	-0,35680	0,50391	0,41824	0,80189	-1,00146	NA	2,08109	NA
Almond	-0,56901	-0,52074	-0,42526	-0,01600	-0,12887	-1,65583	1,01004	NA	NA	NA	NA
Almond	-0,23344	-0,50878	-0,42526	-0,01600	1,83608	-0,23361	-0,91116	-0,40025	NA	0,03573	NA
Almond	-0,73679	-0,77158	-0,40018	0,02204	0,27078	1,54416	-1,11175	NA	NA	NA	NA
Almond	-0,23344	-0,07600	-0,40018	0,02204	-0,29539	0,53083	-0,38841	0,33398	NA	-0,25979	NA
Almond	0,26991	-0,20760	-0,27479	0,18753	0,17087	1,00372	0,38734	NA	NA	NA	NA
Almond	0,43770	0,95534	0,00109	0,45796	-0,86157	-0,70768	-0,27420	0,94703	NA	-1,38569	NA
Almond	0,60548	0,12880	0,15157	0,57228	1,10338	-0,06430	-1,02972	0,35046	NA	-0,97710	NA
Almond	0,94105	1,78608	0,17665	0,58973	-1,96061	0,44443	0,47959	-0,28760	NA	-0,30286	NA
Almond	1,27662	2,06393	0,17665	0,58973	-1,72748	0,44443	0,21437	0,91949	NA	-0,77197	NA
Almond	0,94105	0,22657	0,87888	0,96164	1,03678	-0,07336	-0,69298	-0,87749	NA	0,27276	NA
Almond	0,60548	-0,10571	1,10459	1,05015	-0,59513	-0,82028	-0,41986	2,14483	NA	-1,86225	NA
Almond	1,44441	0,07551	1,55602	1,20066	0,30408	-0,59279	0,08720	1,30197	NA	-0,03123	NA
Almond	1,94776	0,41937	1,95730	1,31281	-0,06226	-1,47805	-0,59842	0,16084	NA	0,90100	NA
Almond	1,27662	1,01978	2,75984	1,49630	-1,06139	-0,86192	3,36390	1,54006	NA	-0,58655	NA
Annato	-1,87083	-0,80445	-1,00667	-1,08251	NA	-0,71109	NA	-1,34401	NA	-0,32465	NA
Annato	-0,26726	-0,53727	-1,00667	-1,08251	NA	1,72850	NA	-0,21943	NA	-0,93465	NA
Annato	0,26726	1,30275	-0,37599	-0,26597	NA	-0,05621	NA	-0,24686	NA	0,20307	NA
Annato	0,80178	-0,85978	0,08490	0,21841	NA	-1,19881	NA	0,00000	NA	1,82891	NA
Annato	0,26726	1,23167	0,86113	0,89399	NA	0,25681	NA	0,05486	NA	0,02375	NA
Annato	0,80178	-0,33292	1,44330	1,31859	NA	-0,01920	NA	1,75544	NA	-0,79644	NA
Blueberry_A	-1,31798	-1,38343	-0,79342	-2,13325	-0,29115	1,91203	0,07951	NA	-0,68856	NA	0,26483
Blueberry_A	-1,11347	-1,37966	-0,76949	-1,61660	0,41141	1,91203	-1,02212	NA	-0,00448	NA	-0,93269
Blueberry_A	-1,11347	-1,13538	-0,69773	-0,93363	0,41141	1,91203	-0,72442	NA	0,03112	NA	-0,49660
Blueberry_A	-0,90895	-1,03213	-0,69773	-0,93363	0,73420	0,41343	0,82622	NA	0,36623	NA	0,98479
Blueberry_A	-0,49992	-0,94239	-0,69773	-0,93363	1,56967	0,41343	-0,57589	NA	1,15212	NA	-0,48108
Blueberry_A	-0,49992	-1,00384	-0,62596	-0,58330	2,65199	0,16372	-0,38702	NA	2,20910	NA	-0,28888
Blueberry_A	-0,29541	0,52649	-0,50635	-0,22142	-1,12662	-0,20355	0,77135	NA	-1,35697	NA	0,95074
Blueberry_A	-0,09090	0,54038	-0,29105	0,17071	-0,57597	-0,98139	-0,01073	NA	-0,64212	NA	0,05518
Blueberry_A	0,31813	0,52617	-0,17144	0,32336	-0,71838	-0,19034	2,94666	NA	-0,79957	NA	2,82238
Blueberry_A	0,11362	-0,02338	-0,12360	0,37662	0,74370	-0,31395	-0,99282	NA	0,66281	NA	-0,78434
Blueberry_A	-0,70444	0,08668	-0,02791	0,47293	-0,81332	-0,60253	-1,15962	NA	-0,86205	NA	-0,86851
Blueberry_A	-0,70444	-0,64640	-0,00399	0,49518	-0,39558	-0,12043	-0,01253	NA	-0,47349	NA	0,26297
Blueberry_A	0,52265	1,18328	0,01994	0,51679	-0,66142	-0,87435	0,72086	NA	-0,63824	NA	0,58779
Blueberry_A	1,34071	1,69344	0,11562	0,59745	-0,58546	-1,02591	-1,07105	NA	-0,47015	NA	-1,07406
Blueberry_A	0,72716	0,59968	0,28308	0,72049	-0,29115	0,12856	0,29836	NA	-0,12014	NA	0,85670
Blueberry_A	0,52265	0,23400	0,47445	0,84001	0,04114	-1,16865	0,28508	NA	0,27959	NA	0,07080
Blueberry_A	1,34071	1,64969	1,02466	1,10448	-1,43992	-0,64523	0,65212	NA	-0,77945	NA	-0,72345
Blueberry_A	2,36328	0,50679	3,48863	1,73741	0,33545	-0,72890	-0,62396	NA	2,13426	NA	-1,20656
Blueberry_B	-1,07728	NA	-0,94275	-1,86667	0,39761	1,98968	-0,25652	1,09464	NA	-0,61382	NA
Blueberry_B	-1,93911	NA	-0,88562	-1,30361	-0,92104	1,98968	NA	0,18770	NA	-0,30154	NA
Blueberry_B	-1,07728	NA	-0,79991	-0,84903	2,06107	-0,68847	-0,67001	-0,37787	NA	-1,22860	NA
Blueberry_B	-0,21546	NA	-0,59993	-0,28597	-0,27336	0,20425	-0,54635	-0,47771	NA	1,21573	NA
Blueberry_B	-0,38782	NA	-0,57136	-0,22993	0,49547	-0,09333	-0,35077	0,94627	NA	-1,12091	NA
Blueberry_B	0,30164	NA	-0,51423	-0,12825	-0,53429	-0,21586	2,05480	0,31708	NA	0,43669	NA
Blueberry_B	0,30164	NA	-0,48566	-0,08182	1,66501	-0,78766	-0,81640	0,67589	NA	-0,39677	NA
Blueberry_B	0,64637	NA	0,22855	0,62557	-0,86512	0,10044	-0,82642	0,36590	NA	-0,32226	NA
Blueberry_B	1,16346	NA	0,37139	0,71492	0,06213	-0,22352	-0,37834	-0,48204	NA	0,24133	NA
Blueberry_B	-0,04309	NA	0,59993	0,84014	-0,36655	-1,02324	0,34195	-2,72638	NA	1,63382	NA
Blueberry_B	0,99110	NA	1,31414	1,13997	-0,85114	-0,63337	1,76891	0,36034	NA	-0,99753	NA
Blueberry_B	1,33583	NA	2,28546	1,42467	-0,86978	-0,61861	-0,32084	0,11620	NA	1,45388	NA
Blueberry_C	-1,63998	1,16356	-1,24369	-1,87477	-1,43712	0,70912	2,46313	NA	-0,74345	NA	-0,17738
Blueberry_C	-0,66814	0,09758	-1,01027	-1,18365	-0,92953	0,21963	-0,40345	NA	-1,29845	NA	1,92668
Blueberry_C	-1,31603	0,24272	-0,95921	-1,06583	-0,76033	-0,65178	-0,52074	NA	-0,62196	NA	0,03461
Blueberry_C	-0,66814	1,64741	-0,90815	-0,95622	-0,77725	-0,20827	-0,38761	NA	0,66752	NA	-0,04135
Blueberry_C	-0,66814	-0,66028	-0,73309	-0,62961	-0,26966	-1,08738	1,75347	NA	-1,54420	NA	1,15698
