crop,state,site,year,transect,honey_bee,bumble_bee,blue_orchard_bee,other_bee,syrphid,other_flies,ant,wild_bees,all_bees,number_of_fruit_mean,number_of_flowers_mean,number_fruit_per_flower_mean
almond,ca,1,2013,0,0.6,0,0,0,0,0,0,0,0.6,28.4,107.6,0.266752317
almond,ca,1,2013,10,0.2,0,0,0,0,0,0,0,0.2,29.4,72.4,0.415117816
almond,ca,1,2013,30,0,0,0,0,0,0,0,0,0,18.6,72.4,0.238272043
almond,ca,1,2013,40,0,0,0,0,0,0,0,0,0,19.6,56.8,0.379411143
almond,ca,1,2013,60,0.4,0,0,0,0,0,0,0,0.4,32.4,71.2,0.442969639
almond,ca,2,2013,0,1.6,0,0,0,0,0,0,0,1.6,0.8,118,0.01509434
almond,ca,2,2013,10,1.2,0,0,0,0,0,0,0,1.2,31.2,116,0.292661005
almond,ca,2,2013,30,0,0,0,0,0,0,0,0,0,43.2,117.4,0.392672151
almond,ca,2,2013,40,0.6,0,0,0,0,0,0,0,0.6,36.8,103,0.396452196
almond,ca,2,2013,60,0.4,0,0,0,0,0,0,0,0.4,35,99.2,0.374173085
almond,ca,3,2013,0,0.9,0,0,0,0,0,0,0,0.9,43.4,283.2,0.16178874
almond,ca,3,2013,10,0.9,0,0,0,0,0,0,0,0.9,49.6,256,0.203007901
almond,ca,3,2013,30,0.7,0,0,0,0,0,0.1,0,0.7,38,206,0.203782071
almond,ca,3,2013,40,0.2,0,0,0,0,0,0,0,0.2,49.4,248.8,0.213195452
almond,ca,3,2013,60,0.2,0,0,0,0,0,0,0,0.2,59.4,162,0.397663473
almond,ca,4,2013,0,0.2,0,0,0,0,0,0,0,0.2,29.4,81,0.444717904
almond,ca,4,2013,10,0.4,0,0,0,0,0,0,0,0.4,45.4,52.4,0.861333463
almond,ca,4,2013,30,0.2,0,0,0,0,0,0.2,0,0.2,23.2,41.6,0.585373071
almond,ca,4,2013,40,0.2,0,0,0,0,0,0,0,0.2,32.4,53.6,0.595013741
almond,ca,4,2013,60,0.2,0,0,0,0,0,0,0,0.2,22,37.2,0.600883547
almond,ca,5,2014,0,3,0,0,0,0,0,0.2,0,3,33.4,92.8,0.378279453
almond,ca,5,2014,10,2.8,0,0,0,0,0,0,0,2.8,21.2,98.6,0.213727985
almond,ca,5,2014,30,2.2,0,0,0,0,0,0,0,2.2,35,113.8,0.310510244
almond,ca,5,2014,40,2.2,0,0,0,0.2,0,0,0,2.2,36.6,123.8,0.318576306
almond,ca,5,2014,60,3,0,0,0,0,0,0,0,3,26.8,93.6,0.299285656
almond,ca,1,2014,0,0.2,0,0,0,0,0.2,0,0,0.2,52.6,164.2,0.330790987
almond,ca,1,2014,10,1,0,0,0,0,0,0,0,1,54.8,162.2,0.37540827
almond,ca,1,2014,30,0.6,0,0,0,0,0,0,0,0.6,47,164.4,0.287002546
almond,ca,1,2014,40,0.4,0,0,0,0,0,0,0,0.4,44.8,134,0.343313475
almond,ca,1,2014,60,1.2,0,0,0,0,0,0,0,1.2,45,146.4,0.327738313
almond,ca,7,2014,0,1,0,0,0,0,0,0,0,1,66.8,172,0.391042343
almond,ca,7,2014,10,0.8,0,0,0,0,0,0,0,0.8,91.8,212.8,0.44063969
almond,ca,7,2014,30,0.8,0,0,0,0,0,0,0,0.8,59.2,148.8,0.380314421
almond,ca,7,2014,40,0.2,0,0,0,0,0,0,0,0.2,38.8,147.6,0.282704581
almond,ca,7,2014,60,0.2,0,0,0,0,0,0,0,0.2,49.2,129.4,0.383387014
