crop,state,site,year,transect,honey_bee,bumble_bee,xylocopa,other_bee,syrphid,wild_bees,all_bees,mean_berry_wt_open_minus_bagged,mean_berry_wt_hand_minus_open,mean_berry_wt_open,mean_berry_wt_bagged,mean_berry_wt_hand,fruit_set_open,fruit_set_bagged,fruit_set_hand
blueberry,bc,1,2013,0,12.5,0,0,0,0,0,12.5,0.409171087,0.404688198,0.958543381,0.549372294,1.363231579,0.992324561,0.632740789,0.969246032
blueberry,bc,1,2013,25,7.5,0.5,0,0,0,0.5,8,0.116174603,0.43875201,0.702680556,0.586505952,1.141432566,0.764788574,0.700377074,0.849415205
blueberry,bc,1,2013,50,5,0,0,0,0,0,5,0.384635905,0.219576935,0.915113542,0.530477637,1.134690476,0.943977591,0.737529627,0.988636364
blueberry,bc,1,2013,100,7,0,0,0,0,0,7,0.410308298,0.518631169,1.023664286,0.613355988,1.542295455,0.782018717,0.802225673,1.053629746
blueberry,bc,1,2014,0,2,0,0,0,0,0,2,0.972681513,0.500372387,1.226076726,0.253395214,1.726449113,0.964912281,0.941587302,0.981067251
blueberry,bc,1,2014,25,3,0,0,0,0,0,3,0.142096963,0.47824443,1.037417951,0.895320988,1.515662381,0.95140665,0.940305145,0.968253968
blueberry,bc,1,2014,50,3,0,0,0,0,0,3,-0.187049173,1.044587213,0.664786325,0.851835498,1.709373538,0.926984127,0.839983688,0.988011696
blueberry,bc,1,2014,100,1,0,0,0,0,0,1,-0.050472959,1.035663723,0.748523072,0.798996032,1.784186795,0.984920635,0.910774411,1
blueberry,bc,1,2015,0,31,0,0,0,0.5,0,31,0.560734643,0.402565671,0.777185833,0.21645119,1.179751504,0.969497414,0.492016317,0.844909473
blueberry,bc,1,2015,25,23.5,0,0,0,0.5,0,23.5,0.943207338,0.420243529,1.161408809,0.218201471,1.581652338,0.980882353,0.932041381,0.898033126
blueberry,bc,1,2015,50,24.5,0.25,0,0,0.25,0.25,24.75,0.57422733,0.490772485,0.748335455,0.174108125,1.23910794,1.08,0.893762183,0.943587662
blueberry,bc,1,2015,100,25.75,0,0,0,0.25,0,25.75,0.77068398,0.159734472,0.985278028,0.214594048,1.1450125,0.780929487,0.753504005,0.947319837
blueberry,bc,2,2013,0,10,1,0,0,0,1,11,0.647830853,-0.148775357,1.006175439,0.358344586,0.857400082,0.853215592,0.833938121,0.947916667
blueberry,bc,2,2013,25,12,0,0,0.5,0,0.5,12.5,0.346817499,0.301824068,0.938464721,0.591647222,1.240288789,0.905810907,0.827122954,0.892366947
blueberry,bc,2,2013,50,6.5,0,0,0,0,0,6.5,-0.017257232,0.641280787,0.572630742,0.589887973,1.213911529,0.918939394,0.952380952,0.983333333
blueberry,bc,2,2013,100,9,0,0,0,0,0,9,0.166578266,0.607386126,0.71624881,0.549670544,1.323634936,0.887254902,0.904761905,0.782750781
blueberry,bc,2,2014,0,2,0.333333333,0,0,0,0.333333333,2.333333333,0.621170635,0.007962866,1.255661376,0.634490741,1.263624242,0.881578947,0.890148448,1.023809524
blueberry,bc,2,2014,25,2.666666667,0.666666667,0,0,0,0.666666667,3.333333333,0.570193772,0.550771242,0.762921569,0.192727796,1.31369281,0.98245614,0.852777778,0.958333333
blueberry,bc,2,2014,100,6,0,0,0,0,0,6,0.869216207,-0.072997073,1.291000777,0.42178457,1.218003704,0.837710084,0.871477456,0.952777778
blueberry,bc,2,2015,0,30,1.75,0,0,0.75,1.75,31.75,0.341751841,0.585283289,0.971072917,0.629321076,1.556356206,0.977996832,0.816017316,0.758181818
blueberry,bc,2,2015,25,37.25,2.75,0,0,0.75,2.75,40,0.5049577,0.067472717,0.968631159,0.463673459,1.036103877,0.80625,0.809754005,0.840570175
blueberry,bc,2,2015,50,35,1.75,0,0,0.75,1.75,36.75,0.659972685,0.419040861,0.840601851,0.180629167,1.259642713,0.78612765,0.886222473,0.704339199
blueberry,bc,2,2015,100,29.25,2,0,0,0,2,31.25,0.400078085,0.022389959,0.835486221,0.435408136,0.85787618,0.799563432,0.907986111,0.838787879
blueberry,bc,3,2013,0,7.5,0,0,0,0,0,7.5,0.344553829,0.403457341,1.051621172,0.707067344,1.455078513,1.042162698,0.643849206,0.95516934
blueberry,bc,3,2013,25,6.5,0.5,0,0,0,0.5,7,0.701839827,0.068025348,1.037371973,0.335532146,1.105397321,0.782026144,0.873621554,0.945158103
blueberry,bc,3,2013,50,6.5,0.5,0,0,0,0.5,7,0.259223663,0.106841992,1.041352559,0.782128896,1.148194551,0.967013889,0.786706349,0.79985119
blueberry,bc,3,2013,100,6.5,0.5,0,0,0,0.5,7,0.310565783,0.265213961,1.046505208,0.735939426,1.31171917,0.933706816,0.789214514,0.893781566
blueberry,bc,3,2014,0,2,0.333333333,0,0.333333333,0,0.666666667,2.666666667,0.665598916,0.362041296,1.015316865,0.349717949,1.377358161,0.958333333,0.911111111,0.918333333
blueberry,bc,3,2014,25,3.333333333,1,0,0,0,1,4.333333333,0.074410846,0.808628052,0.670063868,0.595653021,1.478691919,1.117715618,0.898809524,0.972222222
blueberry,bc,3,2014,50,1.666666667,0,0,0,0,0,1.666666667,0.163860447,0.436119952,0.836900641,0.673040194,1.273020593,0.865740741,0.955738706,0.9875
blueberry,bc,3,2014,100,1.666666667,0.666666667,0,0,0,0.666666667,2.333333333,0.420462748,0.742742424,0.825455989,0.404993241,1.568198413,0.959920635,0.849255952,0.953365385
blueberry,bc,4,2013,0,3,3,0,0,0,3,6,0.412887847,0.036487673,1.136530602,0.723642755,1.173018275,0.861498108,0.898039216,1.014285714
blueberry,bc,4,2013,25,4.5,3,0,0,0,3,7.5,0.5046614,-0.146106161,1.051503066,0.546841667,0.905396905,0.853279645,1.001838235,0.944040248
blueberry,bc,4,2013,50,2,5,0,0,0,5,7,0.571390469,0.012915464,1.151486364,0.580095895,1.164401827,0.987582447,0.933088235,0.951785714
blueberry,bc,4,2013,100,3.5,4,0,0,0,4,7.5,0.619509547,0.092652721,1.056675163,0.437165616,1.149327885,0.752217452,0.74796527,0.826143791
blueberry,bc,4,2014,0,6.666666667,3.666666667,0,3,0,6.666666667,13.33333333,0.861222668,-0.019971405,1.343957516,0.482734848,1.323986111,0.972222222,1.079365079,0.944272446
blueberry,bc,4,2014,25,10,2.333333333,0,1.333333333,0,3.666666667,13.66666667,0.582335535,0.076247597,0.864663767,0.282328232,0.940911364,1.016928152,0.799242424,0.975079745
blueberry,bc,4,2014,50,6.666666667,5,0,1,0,6,12.66666667,0.663267857,0.120292289,0.899627976,0.236360119,1.019920265,0.988636364,1.010869565,0.98407993
blueberry,bc,4,2014,100,7.666666667,3.666666667,0,1,0,4.666666667,12.33333333,0.767222817,-0.074305612,1.223442278,0.456219462,1.149136667,1.081235698,0.894285714,0.962731481
blueberry,bc,4,2015,0,22,5.25,0,0.75,0.75,6,28,0.798773103,-0.033876302,1.283210735,0.484437632,1.249334432,1.032527658,0.906293706,1.022727273
blueberry,bc,4,2015,25,24.5,5.75,0,0.25,0.5,6,30.5,0.57278167,0.346878037,0.696127717,0.123346047,1.043005754,0.919484702,0.869047619,1.00094697
blueberry,bc,4,2015,50,25.5,5.75,0,0.75,1,6.5,32,0.643794876,0.080331741,0.980006779,0.336211904,1.06033852,0.940257353,0.938724448,1.047777778
blueberry,bc,4,2015,100,22.5,8.5,0,0.5,0.25,9,31.5,0.456917131,0.169687177,0.628630296,0.171713164,0.798317472,0.918652038,0.861912226,1.016907051
blueberry,bc,5,2013,0,2.5,4.5,0,0,0,4.5,7,0.464113041,0.1733744,0.929907197,0.465794156,1.103281597,0.881060606,0.937916667,1
blueberry,bc,5,2013,25,4,3.5,0,0,0,3.5,7.5,0.825204295,-0.009217688,1.186629146,0.361424851,1.177411458,0.958333333,0.883193915,0.924214572
blueberry,bc,5,2013,50,2,9,0,0,0,9,11,0.506156207,-0.119118453,1.091010113,0.584853906,0.97189166,0.976136364,0.936842105,1.023717949
blueberry,bc,5,2013,100,3,12.5,0,0,0,12.5,15.5,0.377924771,0.084695175,0.932575758,0.554650987,1.017270933,0.948498965,0.972222222,0.882309942
blueberry,bc,5,2014,0,0.666666667,1,0,0.666666667,0.333333333,1.666666667,2.333333333,-0.59004112,-0.133318443,1.842504202,2.432545322,1.709185759,0.712826797,0.707638889,0.791566986
blueberry,bc,5,2014,25,0.666666667,1.666666667,0,0.333333333,0.333333333,2,2.666666667,0.628307492,0.142023343,0.976650794,0.348343301,1.118674136,0.897435897,0.888695652,1.018981481
blueberry,bc,5,2014,50,1,0.666666667,0,0.666666667,0,1.333333333,2.333333333,0.322023186,0.494411611,0.792340686,0.4703175,1.286752297,1.039766082,0.947222222,1.042139663
blueberry,bc,5,2014,100,1,1.666666667,0,0,0,1.666666667,2.666666667,0.43789961,0.548199978,0.881434964,0.443535354,1.429634942,0.985507246,0.927777778,1
blueberry,bc,5,2015,0,8,2.25,0,0.75,1,3,11,1.190996992,0.364604503,1.397547101,0.20655011,1.762151604,1.070793972,0.882308897,0.911706349
