Organism_ID,Family,Guild,Data_version
(Dialictus) sp. D,Halictidae,other_wild_bees,V0.1
“Lagria” cf. aeneipennis Fåhraeus,Tenebrionidae,beetles,V0.1
0,NA,NA,V0.1
A. mellifera,Apidae,honeybees,V0.1
A_mellifera,Apidae,honeybees,V0.1
Abax.parallelepipedus,NA,beetles,V0.1
Abeja abdomen naranja,Andrenidae,other_wild_bees,V0.1
Abeja brillante sin pelos rayas en abdomen,Halictidae,other_wild_bees,V0.1
Abeja marron cola negra,NA,other_wild_bees,V0.1
Abeja negra,NA,other_wild_bees,V0.1
Adalia_bipunctata,NA,beetles,V0.1
Agapostemon,Halictidae,other_wild_bees,V0.1
Agapostemon sericeus,Halictidae,other_wild_bees,V0.1
Agapostemon sp,Halictidae,other_wild_bees,V0.1
Agapostemon splendens,Halictidae,other_wild_bees,V0.1
Agapostemon texana,Halictidae,other_wild_bees,V0.1
Agapostemon texanus,Halictidae,other_wild_bees,V0.1
Agapostemon virescens,Halictidae,other_wild_bees,V0.1
Aglais_urticae,Nymphalidae,lepidoptera,V0.1
Agonum.muelleri,NA,beetles,V0.1
Agonum.sexpunctatum,NA,beetles,V0.1
Agromyzidae_sp1,Agromyzidae,other_flies,V0.1
Agromyzidae_sp1,NA,other_flies,V0.1
Alleculinae_sp1,NA,beetles,V0.1
ALLECULINAE_sp1,Tenebrionidae,beetles,V0.1
Allobacha sp.,Syrphidae,syrphids,V0.1
Allograpta exotica,Syrphidae,syrphids,V0.1
Allograpta exotica cf.,Sirfidae,syrphids,V0.1
Allograpta iavana,Syrphidae,syrphids,V0.1
Allograpta sp.,Syrphidae,syrphids,V0.1
Allograpta sp1,Syrphidae,syrphids,V0.1
Allograpta sp2,Syrphidae,syrphids,V0.1
Allograpta sp3,Syrphidae,syrphids,V0.1
Allograpta_calopus_talvez,NA,syrphids,V0.1
Amara.aenea,NA,beetles,V0.1
Amara.convexior,NA,beetles,V0.1
Amara.familiaris,NA,beetles,V0.1
Amara.montivaga,NA,beetles,V0.1
Amara.ovata,NA,beetles,V0.1
Amara.plebeja,NA,beetles,V0.1
Amara.similata,NA,beetles,V0.1
Amata cerbera L.,Arctiidae,lepidoptera,V0.1
Amegilla caelestina,NA,other_wild_bees,V0.1
Amegilla cymatilis,NA,other_wild_bees,V0.1
Amegilla quadrifasciata,Apidae,other_wild_bees,V0.1
Amegilla sp 1.,NA,other_wild_bees,V0.1
Amegilla sp 2.,NA,other_wild_bees,V0.1
Amegilla sp. 1,NA,other_wild_bees,V0.1
Amegilla sp. 2,NA,other_wild_bees,V0.1
Amegilla zonata/ A. confusa,Apidae,other_wild_bees,V0.1
Amegilla_zonata,NA,other_wild_bees,V0.1
Amobia oculata,Sarcophagidae,other_flies,V0.1
Amobia sp,Sarcophagidae,other_flies,V0.1
Amobia_sp,NA,other_flies,V0.1
Anasimyia_lineata,NA,syrphids,V0.1
Anchmenus.dorsalis,NA,beetles,V0.1
Ancistrocerus oviventris,NA,NA,V0.1
Ancyloscelis apiformes,Apidae,other_wild_bees,V0.1
Ancyloscelis apiformis,Apidae,other_wild_bees,V0.1
Ancyloscelis sp.2,NA,other_wild_bees,V0.1
Ancyloscelis sp1.,NA,other_wild_bees,V0.1
Andrena,Andrenidae,other_wild_bees,V0.1
Andrena agilissima,Andrenidae,other_wild_bees,V0.1
Andrena albopunctata,Andrenidae,other_wild_bees,V0.1
Andrena algida,Andrenidae,other_wild_bees,V0.1
Andrena allegheniensis,Andrenidae,other_wild_bees,V0.1
Andrena angustior,Andrenidae,other_wild_bees,V0.1
