"","Campo","Zona","Ronda","Grupo","ALTITUD","COORDENADAS","Abundancia"
"1","BQ1","DH",1,"bombus",2818,"S0º 58.618' W78º 35.088'",2
"2","CUSU1","DH",3,"bombus",3086,"S1º 04.021' W78º 41.442'",1
"3","CUSU2","DH",1,"bombus",3500,"S1º 05.516' W78º 43.567'",1
"4","CUSU2","BH",3,"bombus",3500,"S1º 05.516' W78º 43.567'",1
"5","Q1","BH",3,"bombus",3777,"S0º 53.872' W78º 46.865'",4
"6","Q4","DH",2,"bombus",3838,"S0º 52.486' W78º 54.973'",1
"7","Q5","BH",1,"bombus",3779,"S0º 52.593' W78º 54.538'",1
"8","BQ1","BH",1,"diptera",2818,"S0º 58.618' W78º 35.088'",1
"9","BQ1","BH",1,"diptera",2818,"S0º 58.618' W78º 35.088'",1
"10","BQ1","BH",2,"diptera",2818,"S0º 58.618' W78º 35.088'",1
"11","BQ2","BH",1,"diptera",3041,"S0º 58.917' W78º 33.509'",1
"12","BQ2","DH",1,"diptera",3041,"S0º 58.917' W78º 33.509'",1
"13","BQ2","DH",1,"diptera",3041,"S0º 58.917' W78º 33.509'",1
"14","BQ2","BH",1,"diptera",3041,"S0º 58.917' W78º 33.509'",1
"15","BQ2","BH",1,"diptera",3041,"S0º 58.917' W78º 33.509'",1
"16","BQ2","BH",1,"diptera",3041,"S0º 58.917' W78º 33.509'",1
"17","BQ2","BH",1,"diptera",3041,"S0º 58.917' W78º 33.509'",1
"18","BQ2","BH",1,"diptera",3041,"S0º 58.917' W78º 33.509'",1
"19","BQ2","BH",1,"diptera",3041,"S0º 58.917' W78º 33.509'",1
"20","BQ2","BH",1,"diptera",3041,"S0º 58.917' W78º 33.509'",1
"21","BQ2","BH",1,"diptera",3041,"S0º 58.917' W78º 33.509'",1
"22","BQ2","BH",1,"diptera",3041,"S0º 58.917' W78º 33.509'",1
"23","BQ2","BH",1,"diptera",3041,"S0º 58.917' W78º 33.509'",1
"24","BQ2","DH",2,"diptera",3041,"S0º 58.917' W78º 33.509'",15
"25","BQ2","DH",3,"diptera",3041,"S0º 58.917' W78º 33.509'",2
"26","CUMBI1","BH",1,"diptera",2759,"S1º 03.191' W78º 33.840'",1
"27","CUMBI1","BH",2,"diptera",2759,"S1º 03.191' W78º 33.840'",1
"28","CUMBI1","BH",2,"diptera",2759,"S1º 03.191' W78º 33.840'",1
"29","CUMBI3","BH",1,"diptera",3064,"S1º 03.289' W78º 30.786'",1
"30","CUMBI3","BH",1,"diptera",3064,"S1º 03.289' W78º 30.786'",1
"31","CUMBI3","BH",1,"diptera",3064,"S1º 03.289' W78º 30.786'",1
"32","CUMBI3","BH",1,"diptera",3064,"S1º 03.289' W78º 30.786'",1
"33","CUMBI3","BH",1,"diptera",3064,"S1º 03.289' W78º 30.786'",1
"34","CUMBI3","BH",1,"diptera",3064,"S1º 03.289' W78º 30.786'",1
