Field 	WGS84_N	WGS84_E	
1	58.403912	14.180431	
2	58.200082	13.556258	
3	58.171296	13.643916	
4	58.109959	13.755515	
5	58.563892	13.029755	
6	58.527049	12.958532	
7	58.503509	13.044996	
8	58.527629	13.033413	
9	58.51405	13.378827	
10	58.351229	13.249006	
11	58.269476	13.028376	
12	58.280797	12.942646	
13	58.397396	13.12773	
14	58.387845	13.073633	
15	58.259148	13.258576	
