old_code,code
1_RiccardoBommarco_RedClover_2008,Riccardo_Bommarco_Trifolium_pratense_Sweden_2008
1_RiccardoBommarco_RedClover_2008,Riccardo_Bommarco_Trifolium_pratense_Sweden_2008
1_RiccardoBommarco_RedClover_2008,Riccardo_Bommarco_Trifolium_pratense_Sweden_2008
1_RiccardoBommarco_RedClover_2008,Riccardo_Bommarco_Trifolium_pratense_Sweden_2008
2_3_RiccardoBommarco_RedClover_2009,Riccardo_Bommarco_Trifolium_pratense_Sweden_2009
2_3_RiccardoBommarco_RedClover_2009,Riccardo_Bommarco_Trifolium_pratense_Sweden_2009
2_3_RiccardoBommarco_RedClover_2009,Riccardo_Bommarco_Trifolium_pratense_Sweden_2009
2_3_RiccardoBommarco_RedClover_2009,Riccardo_Bommarco_Trifolium_pratense_Sweden_2009
4_5_RiccardoBommarco_RedClover_2010,Riccardo_Bommarco_Trifolium_pratense_Sweden_2010
4_5_RiccardoBommarco_RedClover_2010,Riccardo_Bommarco_Trifolium_pratense_Sweden_2010
4_5_RiccardoBommarco_RedClover_2010,Riccardo_Bommarco_Trifolium_pratense_Sweden_2010
4_5_RiccardoBommarco_RedClover_2010,Riccardo_Bommarco_Trifolium_pratense_Sweden_2010
bomm01,Riccardo_Bommarco_Brassica_napus_Sweden_2005
Bommarco_Rundlof_2009,Riccardo_Bommarco_Brassica_napus_Sweden_2009
14_MikeGarratt_FieldBean2005,Michael_Garratt_Vicia_faba_UK_2005
garr01,Michael_Garratt_Fragaria_ananassa_UK_2011
garr02,Michael_Garratt_Malus_domestica_UK_2011
garr03,Michael_Garratt_Vicia_faba_UK_2011
garr04,Michael_Garratt_Brassica_napus_UK_2012
20_DavidKleijn_alliumporrum2012,David_Kleijn_Allium_porrum_Italy_2012
58_MacKenzie_AverillExtractedFromPaper,David_Kleijn_Vaccinium_macrocarpon_USA_1990
58_MacKenzie_AverillExtractedFromPaper,David_Kleijn_Vaccinium_macrocarpon_USA_1990
58_MacKenzie_AverillExtractedFromPaper,David_Kleijn_Vaccinium_macrocarpon_USA_1990
59_MacKenzie_AverillExtractedFromPaper,David_Kleijn_Vaccinium_macrocarpon_USA_1991
59_MacKenzie_AverillExtractedFromPaper,David_Kleijn_Vaccinium_macrocarpon_USA_1991
59_MacKenzie_AverillExtractedFromPaper,David_Kleijn_Vaccinium_macrocarpon_USA_1991
Groo01,David_Kleijn_Malus_domestica_Netherlands_2013
Groo01,David_Kleijn_Malus_domestica_Netherlands_2013
Groo02,David_Kleijn_Malus_domestica_Netherlands_2014
Groo02,David_Kleijn_Malus_domestica_Netherlands_2014
Groo03,David_Kleijn_Vaccinium_corymbosum_Netherlands_2013
Groo03,David_Kleijn_Vaccinium_corymbosum_Netherlands_2013
Groo04,David_Kleijn_Vaccinium_corymbosum_Netherlands_2014
Groo04,David_Kleijn_Vaccinium_corymbosum_Netherlands_2014
Reemer_Kleijn_2010,David_Kleijn_Pyrus_communis_Netherlands_2010
Reemer_Kleijn_2010_Apple,David_Kleijn_Malus_domestica_Netherlands_2010
Reemer_Kleijn_2011,David_Kleijn_Pyrus_communis_Netherlands_2011
Reemer_Kleijn_2011_Apple,David_Kleijn_Malus_domestica_Netherlands_2011
38_PisantyMandelik_Sunflower2010,Yael_Mandelik_Helianthus_annuus_Israel_2010
38_PisantyMandelik_Sunflower2010,Yael_Mandelik_Helianthus_annuus_Israel_2010
38_PisantyMandelik_Sunflower2010,Yael_Mandelik_Helianthus_annuus_Israel_2010
39_PisantyMandelikWatermelon_2009,Yael_Mandelik_Citrullus_lanatus_Israel_2009
39_PisantyMandelikWatermelon_2009,Yael_Mandelik_Citrullus_lanatus_Israel_2009
40_PisantyMandelikWatermelon_2010,Yael_Mandelik_Citrullus_lanatus_Israel_2010
40_PisantyMandelikWatermelon_2010,Yael_Mandelik_Citrullus_lanatus_Israel_2010
42_MiaParkApple_2009,Mia_Park_Malus_domestica_USA_2009
43_MiaParkApple_2010,Mia_Park_Malus_domestica_USA_2010
44_MiaParkApple_2011,Mia_Park_Malus_domestica_USA_2011
45_RachaelWinfree_Apple_2004,Rachael_Winfree_Malus_Domestica_USA_2004
46_RachaelWinfreeTomato_2004,Rachael_Winfree_Solanum_lycopersicum_USA_2004
46_RachaelWinfreeTomato_2004,Rachael_Winfree_Solanum_lycopersicum_USA_2004
47_RachaelWinfreeTomato_2005,Rachael_Winfree_Solanum_lycopersicum_USA_2005
47_RachaelWinfreeTomato_2005,Rachael_Winfree_Solanum_lycopersicum_USA_2005
48_RachaelWinfreeCranberry_2009,Rachael_Winfree_Vaccinium_macrocarpon_USA_2009
48_RachaelWinfreeCranberry_2009,Rachael_Winfree_Vaccinium_macrocarpon_USA_2009
49_RachaelWinfreeCranberry_2010,Rachael_Winfree_Vaccinium_macrocarpon_USA_2010
49_RachaelWinfreeCranberry_2010,Rachael_Winfree_Vaccinium_macrocarpon_USA_2010
50_RachaelWinfreeMuskMelon_2004,Rachael_Winfree_Cucumis_melo_USA_2004
50_RachaelWinfreeMuskMelon_2004,Rachael_Winfree_Cucumis_melo_USA_2004
51_RachaelWinfreeBlueBerry_2010,Rachael_Winfree_Vaccinium_corymbosum_USA_2010
51_RachaelWinfreeBlueBerry_2010,Rachael_Winfree_Vaccinium_corymbosum_USA_2010
51_RachaelWinfreeBlueBerry_2010,Rachael_Winfree_Vaccinium_corymbosum_USA_2010
52_RachaelWinfreeBlueBerry_2011,Rachael_Winfree_Vaccinium_corymbosum_USA_2011
52_RachaelWinfreeBlueBerry_2011,Rachael_Winfree_Vaccinium_corymbosum_USA_2011
52_RachaelWinfreeBlueBerry_2011,Rachael_Winfree_Vaccinium_corymbosum_USA_2011
Winfree_griffin_2008,Rachael_Winfree_Citrullus_lanatus_USA_2008
Winfree_griffin_2008,Rachael_Winfree_Citrullus_lanatus_USA_2008
Winfree_griffin_2008,Rachael_Winfree_Citrullus_lanatus_USA_2008
Winfree_griffin_2008,Rachael_Winfree_Citrullus_lanatus_USA_2008
Winfree_griffin_2010,Rachael_Winfree_Citrullus_lanatus_USA_2010
Winfree_griffin_2010,Rachael_Winfree_Citrullus_lanatus_USA_2010
Winfree_griffin_2010,Rachael_Winfree_Citrullus_lanatus_USA_2010
Winfree_griffin_2010,Rachael_Winfree_Citrullus_lanatus_USA_2010
Winfree_griffin_2011,Rachael_Winfree_Citrullus_lanatus_USA_2011
Winfree_griffin_2011,Rachael_Winfree_Citrullus_lanatus_USA_2011
Winfree_griffin_2011,Rachael_Winfree_Citrullus_lanatus_USA_2011
Winfree_griffin_2011,Rachael_Winfree_Citrullus_lanatus_USA_2011
Winfree_griffin_2012,Rachael_Winfree_Citrullus_lanatus_USA_2012
Winfree_griffin_2012,Rachael_Winfree_Citrullus_lanatus_USA_2012
Winfree_griffin_2012,Rachael_Winfree_Citrullus_lanatus_USA_2012
Winfree_griffin_2012,Rachael_Winfree_Citrullus_lanatus_USA_2012
66_AlexKleinAlmond_2009,Alexandra_Maria_Klein_Prunus_dulcis_USA_2009
74_AlexKleinCoffee_2Varieties_2001,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001
74_AlexKleinCoffee_2Varieties_2001,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001
74_AlexKleinCoffee_2Varieties_2001,Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001
75_AlexKleinCoffee_2Varieties_2001,Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001
75_AlexKleinCoffee_2Varieties_2001,Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001
75_AlexKleinCoffee_2Varieties_2001,Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001
Brittain_Klein_2008,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008
Brittain_Klein_2008,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008
Brittain_Klein_2008,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008
69_GreenleafKremenTomato2001,Sarah_S_Greenleaf_Solanum_lycopersicum_USA_2001
69_GreenleafKremenTomato2001,Sarah_S_Greenleaf_Solanum_lycopersicum_USA_2001
84_RuanVeldtmanApple_2011,Ruan_Veldtman_Malus_domestica_South_Africa_2011
84_RuanVeldtmanApple_2011,Ruan_Veldtman_Malus_domestica_South_Africa_2011
85_MarietteBrandOnion_2009,Ruan_Veldtman_Allium_cepa_South_Africa_2009
85_MarietteBrandOnion_2009,Ruan_Veldtman_Allium_cepa_South_Africa_2009
86_MarietteBrandOnion_2010,Ruan_Veldtman_Allium_cepa_South_Africa_2010
86_MarietteBrandOnion_2010,Ruan_Veldtman_Allium_cepa_South_Africa_2010
Sunflowers_SouthAfrica_2011,Ruan_Veldtman_Helianthus_annuus_South_Africa_2011
Sunflowers_SouthAfrica_2011,Ruan_Veldtman_Helianthus_annuus_South_Africa_2011
87_TaylorRickettsCoffee_2001,Taylor_Ricketts_Coffea_arabica_Costa_Rica_2001
87_TaylorRickettsCoffee_2001,Taylor_Ricketts_Coffea_arabica_Costa_Rica_2001
87_TaylorRickettsCoffee_2001,Taylor_Ricketts_Coffea_arabica_Costa_Rica_2001
87_TaylorRickettsCoffee_2001,Taylor_Ricketts_Coffea_arabica_Costa_Rica_2001
88_TaylorRickettsCoffee_2002,Taylor_Ricketts_Coffea_arabica_Costa_Rica_2002
88_TaylorRickettsCoffee_2002,Taylor_Ricketts_Coffea_arabica_Costa_Rica_2002
88_TaylorRickettsCoffee_2002,Taylor_Ricketts_Coffea_arabica_Costa_Rica_2002
88_TaylorRickettsCoffee_2002,Taylor_Ricketts_Coffea_arabica_Costa_Rica_2002
89_BlandeViana_PassionFruit2005,Blande_Viana_Passiflora_edulis_Brazil_2005
90_ShaleneJhaCoffee_2006,Shalene_Jha_Coffea_arabica_robusta_Mexico_2006
90_ShaleneJhaCoffee_2006,Shalene_Jha_Coffea_arabica_robusta_Mexico_2006
ande01,Georg_Andersson_Brassica_rapa_Sweden_2010
ande01,Georg_Andersson_Brassica_rapa_Sweden_2010
ande02,Georg_Andersson_Fragaria_ananassa_Sweden_2009
ande02,Georg_Andersson_Fragaria_ananassa_Sweden_2009
Burn01,Katherine_LW_Burns_Malus_domestica_Ireland_2018
Burn01,Katherine_LW_Burns_Malus_domestica_Ireland_2018
Bart01,Ignasi_Bartomeus_Brassica_napus_Sweden_2013
Bart01,Ignasi_Bartomeus_Brassica_napus_Sweden_2013
Bart01,Ignasi_Bartomeus_Brassica_napus_Sweden_2013
bore01,Virginie_Boreux_Coffea_canephora_India_2008
bore02,Virginie_Boreux_Malus_domestica_Germany_2015
