crop,state,site,year,transect,honey_bee,bumble_bee,other_bee,fly,wild_bees,all_bees,fruit_wt_mean,number_of_fruit_mean,number_of_flowers_mean,number_fruit_per_flower_mean
cherry_sweet,wa,1,2013,0,0,1.333333,0.3333333,2.6666667,1.666667,1.666667,240.29,28.1,NA,NA
cherry_sweet,wa,1,2013,25,0,2.666667,0,1,2.666667,2.666667,148.112,15.6,NA,NA
cherry_sweet,wa,1,2013,50,0,2.666667,0,0,2.666667,2.666667,162.767,17.4,NA,NA
cherry_sweet,wa,1,2013,100,0,3,0,0.3333333,3,3,274.435,27.9,NA,NA
cherry_sweet,wa,2,2013,0,0,2,0,2,2,2,114.76667,12.555556,NA,NA
cherry_sweet,wa,2,2013,25,0,2,0,0.6666667,2,2,54.16333,5.833333,NA,NA
cherry_sweet,wa,2,2013,50,0,2.666667,0,1,2.666667,2.666667,161.42143,13.571429,NA,NA
cherry_sweet,wa,2,2013,100,0,1.666667,0,3,1.666667,1.666667,127.70333,13.777778,NA,NA
cherry_sweet,wa,3,2013,0,0,5,0,0.3333333,5,5,216.61333,23,NA,NA
cherry_sweet,wa,3,2013,25,0,2.666667,0.3333333,1,3,3,NA,NA,NA,NA
cherry_sweet,wa,3,2013,50,0,7.333333,0.3333333,0.6666667,7.666667,7.666667,NA,NA,NA,NA
cherry_sweet,wa,3,2013,100,0,4.666667,0,0.3333333,4.666667,4.666667,NA,NA,NA,NA
cherry_sweet,wa,4,2013,0,0,2,0,0.75,2,2,223.94667,26.555556,NA,NA
cherry_sweet,wa,4,2013,25,0,1.25,0,3.5,1.25,1.25,132.87143,13.857143,NA,NA
cherry_sweet,wa,4,2013,50,0,1.5,0,0.75,1.5,1.5,122.701,12.7,NA,NA
cherry_sweet,wa,4,2013,100,0,0.75,0,1,0.75,0.75,94.55143,10.714286,NA,NA
cherry_sweet,wa,5,2013,0,0,1,0.3333333,0,1.333333,1.333333,98.75286,10.428571,NA,NA
cherry_sweet,wa,5,2013,25,0,3.666667,0,0.3333333,3.666667,3.666667,142.686,13.8,NA,NA
cherry_sweet,wa,5,2013,50,0,2.666667,0,0.6666667,2.666667,2.666667,95.42,9.142857,NA,NA
cherry_sweet,wa,5,2013,100,0,1.666667,0,3.6666667,1.666667,1.666667,109.57,11.9,NA,NA
cherry_sweet,wa,5,2014,0,10.5,0,0,0,0,10.5,196.06125,22,25,0.8848963
cherry_sweet,wa,5,2014,25,13.666667,0,0,0,0,13.666667,237.9425,25.5,28.75,0.8687503
cherry_sweet,wa,6,2013,0,0,3.666667,0,0.3333333,3.666667,3.666667,NA,NA,NA,NA
cherry_sweet,wa,6,2013,25,0,10,0,0.3333333,10,10,NA,NA,NA,NA
cherry_sweet,wa,6,2013,50,0,2,0,1.6666667,2,2,NA,NA,NA,NA
cherry_sweet,wa,6,2013,100,0,3.666667,0,0,3.666667,3.666667,NA,NA,NA,NA
cherry_sweet,wa,6,2014,0,52,0,0,0,0,52,195.05714,24,25.42857,0.9308639
cherry_sweet,wa,6,2014,25,63.5,0,0,0,0,63.5,288.7975,39,39,1
cherry_sweet,wa,6,2014,100,6.5,0,0,0,0,6.5,133.535,16,17.75,0.7265625
cherry_sweet,wa,7,2014,0,15,0,0,0,0,15,173.98889,31.555556,33.33333,0.9453727
cherry_sweet,wa,7,2014,25,1,0,0,0,0,1,140.12,23,30.2,0.7624633
cherry_sweet,wa,7,2014,100,5,1,0,0,1,6,NA,NA,NA,NA
cherry_sweet,wa,8,2014,0,10,0,0,0,0,10,571.16222,69.777778,71.77778,0.965921
cherry_sweet,wa,8,2014,25,7.333333,0,0,0,0,7.333333,710.985,112.2,120.2,0.9282321
cherry_sweet,wa,8,2014,100,10,0,0,0,0,10,587.506,79.6,84.6,0.9538738
