crop,state,site,year,transect,honey_bee,bumble_bee,other_bee,syrphid,wasp,other_insect,wild_bees,all_bees,number_of_fruit_mean,number_of_flowers_mean,number_fruit_per_flower_mean
apple,pa,1,2013,0,14,1,9,5,0,9,10,24,4.235294118,24.17647059,0.170110172
apple,pa,1,2013,25,8,1,5,0,0,5,6,14,6.393939394,25.09090909,0.254428319
apple,pa,1,2013,50,13,3,6,0,0,6,9,22,5.102564103,24.07894737,0.211913181
apple,pa,1,2013,100,3,0,0,1,0,0,0,3,4.548387097,19.96774194,0.234481041
apple,pa,1,2014,0,17,0,5,0,0,5,5,22,18.5,30.5,0.546910755
apple,pa,1,2014,25,22,0,10,2,0,10,10,32,12.5,39.75,0.348202765
apple,pa,1,2014,50,39,4,3,2,0,3,7,46,28,37,0.755847953
apple,pa,1,2014,100,14,1,0,0,0,0,1,15,8.5,31.5,0.267748479
apple,pa,2,2013,0,8,1,19,9,0,19,20,28,19.06666667,30.375,0.645623711
apple,pa,2,2013,25,10,1,2,3,0,2,3,13,15.05263158,25.86842105,0.705952538
apple,pa,2,2013,50,7,5,4,4,0,4,9,16,10.31034483,23.31034483,0.486969037
apple,pa,2,2013,100,5,0,6,0,0,6,6,11,9.717391304,18.56521739,0.564252672
apple,pa,2,2014,0,3,1,0,1,0,0,1,4,30.5,18,1.942307692
apple,pa,2,2014,25,10,0,0,1,0,0,0,10,22.25,26.75,1.49250731
apple,pa,2,2014,50,8,0,1,1,0,1,1,9,17,38,0.476078431
apple,pa,2,2014,100,7,2,1,2,0,1,3,10,16.5,8,1.96031746
apple,pa,3,2013,0,1,0,0,0,0,0,0,1,7.5,22.7,0.311006123
apple,pa,3,2013,25,1,0,0,0,0,0,0,1,6.416666667,26,0.212946081
apple,pa,3,2013,50,2,0,0,1,0,0,0,2,8.142857143,28.37142857,0.300933446
apple,pa,3,2013,100,1,0,3,0,0,3,3,4,7.454545455,22.87878788,0.324556607
apple,pa,4,2013,0,1,0,2,0,0,2,2,3,2.615384615,16.69230769,0.14445074
apple,pa,4,2013,25,1,0,2,1,0,2,2,3,1.777777778,21.06666667,0.087013919
apple,pa,4,2013,50,2,0,3,0,0,3,3,5,1.535714286,17.5,0.083687818
apple,pa,4,2013,100,3,0,4,0,0,4,4,7,1.235294118,15.61764706,0.077909077
apple,pa,4,2014,0,64,4,1,3,0,1,5,69,15,12,0.95
apple,pa,4,2014,25,70,3,3,1,0,3,6,76,25.5,24.75,0.96187916
apple,pa,4,2014,50,51,3,4,0,0,4,7,58,25,29.5,0.848076923
apple,pa,4,2014,100,47,0,5,2,0,5,5,52,28,25,1.056027165
apple,pa,5,2014,0,7,0,0,0,0,0,0,7,11,14,0.788888889
apple,pa,5,2014,25,6,0,0,1,0,0,0,6,17.5,19.25,1.032051282
apple,pa,5,2014,50,9,0,0,1,0,0,0,9,25.5,32,0.796875
apple,pa,5,2014,100,4,0,0,2,0,0,0,4,7.5,9.5,0.732954545
