"Field","SiteMean_Richness_NetSamp","Minutes_NetSampling"
"Close1",3,30
"Close2",1.25,30
"Close3",4.5,30
"Close4",2.25,30
"Dist2",3.25,30
"Dist3",0.5,30
"Dist4",7.75,30
"Dist5",2.25,30
"Med1",2.5,30
"Med2",0,30
"Med3",1,30
"Med4",0.75,30
"Med5",2.25,30
