Field	Site	Plot	SeedxPod1	SeedxPod2	SeedxPod3	SeedxPod4	SeedxPod5	SeedxPod6	SeedxPod7	SeedxPod8	SeedxPod9	SeedxPod10	SeedxPod11	SeedxPod12	SeedxPod13	SeedxPod14	SeedxPod15	SeedxPod16	SeedxPod17	SeedxPod18	SeedxPod19	SeedxPod20	Weight_g_1	Weight_g_2	Weight_g_3
site_1	Edge	1	19	24	24	19	17	23	19	19	17	15	25	12	20	20	21	20	10	19	19	25	0.555	0.651	0.617
site_1	Edge	2	31	33	39	32	37	41	27	41	37	36	41	27	25	28	40	35	37	27	30	33	0.599	0.577	0.541
site_1	Edge	3	24	24	34	25	27	22	28	26	24	24	24	25	24	26	26	30	20	21	24	24	0.660	0.600	0.671
site_1	Edge	4	24	28	26	19	30	28	27	21	21	24	25	30	33	18	29	18	33	26	27	21	0.651	0.593	0.609
site_1	Crop_Edge	C	28	19	25	26	19	25	23	16	28	21	30	30	19	25	20	18	24	17	30	28	0.685	0.643	0.596
site_1	Crop	1	26	27	24	16	20	25	27	22	24	27	18	25	31	33	19	25	20	21	33	27	0.584	0.532	0.518
site_1	Crop	2	24	23	24	20	24	26	19	23	22	21	25	16	20	20	19	22	18	24	25	20	0.701	0.527	0.648
site_1	Crop	3	30	25	17	20	21	21	16	14	19	21	20	22	16	13	34	8	13	19	25	19	0.766	0.812	0.603
site_1	Crop	4	24	23	19	21	29	21	21	22	27	23	28	23	21	18	15	19	20	23	27	29	0.651	0.670	0.500
site_1	Control_Crop	C	14	23	34	25	22	22	28	26	28	21	27	23	23	24	28	17	22	25	30	19	0.477	0.476	0.517
site_2	Edge	1	33	32	31	26	31	31	39	29	38	33	25	30	31	39	38	32	28	31	30	26	0.520	0.549	0.361
site_2	Edge	2	29	30	27	33	33	28	30	25	31	33	25	30	39	22	29	30	19	23	25	31	0.382	0.376	0.444
site_2	Edge	3	27	24	37	26	23	27	31	36	25	39	41	38	40	27	21	36	25	33	42	24	0.537	0.559	0.465
site_2	Edge	4	28	35	26	31	34	29	35	32	33	28	30	26	26	33	34	35	29	32	28	31	0.550	0.600	0.479
site_2	Crop_Edge	C	34	36	35	31	40	34	34	41	36	40	30	33	35	35	30	29	33	29	39	35	0.395	0.346	0.366
site_2	Crop	1	23	29	35	33	32	30	33	20	43	40	28	21	30	32	33	27	19	34	31	25	0.472	0.497	0.433
site_2	Crop	2	23	32	29	31	33	24	22	30	26	33	27	19	32	20	21	19	33	34	33	36	0.365	0.452	0.469
site_2	Crop	3	19	26	40	22	26	22	35	33	31	31	24	27	19	24	30	36	35	27	31	28	0.458	0.503	0.422
site_2	Crop	4	27	33	32	23	28	31	31	27	28	33	22	27	30	26	24	33	30	27	28	19	0.400	0.454	0.427
site_2	Control_Crop	C	30	23	29	34	29	27	22	35	33	24	29	31	19	35	27	33	28	24	30	28	0.404	0.470	0.513
site_3	Edge	1	24	25	22	23	20	24	28	21	29	22	21	22	17	27	25	21	20	26	23	24	0.649	0.710	0.754
site_3	Edge	2	23	35	30	33	35	34	34	31	32	33	37	29	28	30	25	24	30	31	29	31	0.532	0.498	0.603
site_3	Edge	3	16	28	25	21	18	19	22	27	22	18	21	21	28	20	25	20	19	25	21	21	0.577	0.636	0.537
site_3	Edge	4	28	28	23	28	28	28	25	22	31	22	19	20	28	27	22	19	27	30	18	26	0.465	0.539	0.631
site_3	Crop_Edge	C	20	21	32	19	23	27	24	15	27	22	18	22	23	25	18	26	19	25	22	20	0.580	0.493	0.480
site_3	Crop	1	32	33	21	21	25	18	26	27	28	20	28	24	25	30	22	21	20	30	24	21	0.535	0.528	0.540
site_3	Crop	2	27	29	20	26	28	24	21	33	33	23	30	28	26	30	26	24	21	24	29	30	0.698	0.765	0.657
site_3	Crop	3	25	18	20	17	24	25	20	27	20	16	19	25	25	30	26	24	29	29	28	29	0.573	0.553	0.507
site_3	Crop	4	25	18	20	17	24	25	20	27	16	19	25	25	30	20	21	26	27	19	27	20	0.573	0.553	0.507
site_3	Control_Crop	C	19	25	28	30	24	21	21	19	31	28	24	25	23	21	21	19	21	20	25	20	0.536	0.582	0.499
