crop_state_combination,corresponding_author
almond_ca,Theresa Pitts-Singer
apple_mi,Julianna Wilson
apple_pa,David Biddinger
blueberry_bc,Elizabeth Elle
blueberry_mi,Jason Gibbs
blueberry_or,Sujaya Rao
blueberry_fl,Jamie Ellis
cherry_sweet_wa,Robert Gillespie
cherry_tart_mi,Nikki Rothwell
cherry_tart_pa,David Biddinger
pumpkin_pa,Shelby Fleischer
watermelon_ca,Neal Williams
watermelon_fl,Jamie Ellis
