"Crop_System" "Crop_yield" "Flower_Visitor_Density" "Flower_visitor_richness" "Field_size" "Vis_base" "Inten" "Isolation" "Yield_gap" "Vis_gap" "Dependence" "Latitude" "Longitude"
"40" "Brasil Coffea arabica 2013 CONV" 1570.16 1.875 0.025 64.6 0.425 4 0.219 77.132967228405 82.5217963480836 34 -12.86152 -47.5223
"41" "Brasil Coffea arabica 2013 CONV" 1660.05 1 0.063 95 0.425 4 0.037 77.132967228405 82.5217963480836 34 -13.13299 -47.46603
"42" "Brasil Coffea arabica 2013 CONV" 901.74 1.938 0.038 60 0.425 4 0.638 77.132967228405 82.5217963480836 34 -13.03786 -47.4247
"43" "Brasil Coffea arabica 2013 CONV" 381.72 2.125 0.063 90 0.425 5 0.345 77.132967228405 82.5217963480836 34 -13.05786 -47.41499
"44" "Brasil Coffea arabica 2013 CONV" 946.91 0.25 0.025 27 0.425 3 0.832 77.132967228405 82.5217963480836 34 -13.24901 -47.33418
"45" "Brasil Coffea arabica 2013 CONV" 1203.23 3.313 0.028 76 0.425 4 0.133 77.132967228405 82.5217963480836 34 -13.09727 -47.45812
"46" "Brasil Coffea arabica 2013 CONV" 3134.03 0.688 0.015 63.8 0.425 4 0.117 77.132967228405 82.5217963480836 34 -13.1246 -47.49293
"47" "Brazil Anacardium occidentale 2011" 123.5 0.546 2 35 0.475 0 2.57 85.8047911304692 33.2865168539326 65 -4.102 -38.388
"48" "Brazil Anacardium occidentale 2011" 33.7 0.711 1.6 18 0.475 0 0.7 85.8047911304692 33.2865168539326 65 -4.103 -38.432
"49" "Brazil Anacardium occidentale 2011" 9 0.544 1.7 35 0.475 0 2.6 85.8047911304692 33.2865168539326 65 -4.111 -38.389
"50" "Brazil Anacardium occidentale 2011" 4.2 0.48 1.889 35 0.475 0 2.6 85.8047911304692 33.2865168539326 65 -4.114 -38.39
"51" "Brazil Anacardium occidentale 2011" 42.4 0.518 1 28 0.475 0 0.9 85.8047911304692 33.2865168539326 65 -4.091 -38.413
"52" "Brazil Anacardium occidentale 2011" 30.6 0.626 1.667 28 0.475 0 0.29 85.8047911304692 33.2865168539326 65 -4.097 -38.413
"53" "Brazil Anacardium occidentale 2011" 10.9 0.43 1.25 35 0.475 0 0.29 85.8047911304692 33.2865168539326 65 -4.108 -38.391
"54" "Brazil Anacardium occidentale 2011" 7.5 0.585 1.333 35 0.475 0 2.2 85.8047911304692 33.2865168539326 65 -4.112 -38.393
"55" "Brazil Anacardium occidentale 2011" 17.3 0.721 1.636 28 0.475 0 0.55 85.8047911304692 33.2865168539326 65 -4.095 -38.415
"56" "Brazil Anacardium occidentale 2011" 16.1 0.61 1.667 18 0.475 0 0.54 85.8047911304692 33.2865168539326 65 -4.1 -38.431
"57" "Brazil Anacardium occidentale 2012" 40.4 0.678 1.4 35 0.5372 0 2.57 69.4476409666283 35.4404518687658 65 -4.102 -38.388
"58" "Brazil Anacardium occidentale 2012" 113.1 0.832 1.5 18 0.5372 0 0.7 69.4476409666283 35.4404518687658 65 -4.103 -38.432
"59" "Brazil Anacardium occidentale 2012" 69.6 0.74 1.3 35 0.5372 0 2.6 69.4476409666283 35.4404518687658 65 -4.111 -38.389
"60" "Brazil Anacardium occidentale 2012" 46.2 0.633 1.333 35 0.5372 0 2.6 69.4476409666283 35.4404518687658 65 -4.114 -38.39
"61" "Brazil Anacardium occidentale 2012" 57.4 0.833 1.6 28 0.5372 0 0.9 69.4476409666283 35.4404518687658 65 -4.091 -38.413
"62" "Brazil Anacardium occidentale 2012" 45.3 0.702 1.889 28 0.5372 0 0.29 69.4476409666283 35.4404518687658 65 -4.097 -38.413
"63" "Brazil Anacardium occidentale 2012" 32.5 0.638 1.4 35 0.5372 0 2.3 69.4476409666283 35.4404518687658 65 -4.108 -38.391
"64" "Brazil Anacardium occidentale 2012" 26.1 0.53 1.778 35 0.5372 0 2.2 69.4476409666283 35.4404518687658 65 -4.112 -38.393
"65" "Brazil Anacardium occidentale 2012" 59.2 0.538 1.556 28 0.5372 0 0.55 69.4476409666283 35.4404518687658 65 -4.095 -38.415
"66" "Brazil Anacardium occidentale 2012" 103.3 0.668 1.8 18 0.5372 0 0.54 69.4476409666283 35.4404518687658 65 -4.1 -38.431
"67" "Brazil Brassica napus 2011" 3738.3 2.258 1.583 7 1.9165 5 0.15 56.9082830946998 19.794936179117 25 -28.238 -54.531
"68" "Brazil Brassica napus 2011" 3551.54 1.725 1.722 9 1.9165 5 0.25 56.9082830946998 19.794936179117 25 -28.258 -54.546
"69" "Brazil Brassica napus 2011" 7833.1 2.311 1.5 10 1.9165 5 0.03 56.9082830946998 19.794936179117 25 -28.229 -54.579
"70" "Brazil Brassica napus 2011" 1938 2.108 2.417 9 1.9165 5 0.21 56.9082830946998 19.794936179117 25 -28.127 -54.513
"71" "Brazil Brassica napus 2011" 4868.1 2.468 1.568 8 1.9165 5 0.35 56.9082830946998 19.794936179117 25 -28.133 -54.523
"72" "Brazil Brassica napus 2011" 4906.1 2.237 2.278 23 1.9165 5 0.12 56.9082830946998 19.794936179117 25 -28.222 -54.517
"80" "Brazil Gossypium hirsutum 2011" 3013.5 0.212 0.813 260 0.1002 5 0.2 44.3327306400017 85.3423054417788 25 -11.876 -55.61
"81" "Brazil Gossypium hirsutum 2011" 3948.2 0.938 1.063 256.88 0.1002 5 0.2 44.3327306400017 85.3423054417788 25 -11.884 -55.623
"82" "Brazil Gossypium hirsutum 2011" 6255.8 0.302 0.75 322.64 0.1002 5 0.2 44.3327306400017 85.3423054417788 25 -11.842 -55.593
"83" "Brazil Gossypium hirsutum 2011" 3084.4 0.207 0.5 229.91 0.1002 5 0.2 44.3327306400017 85.3423054417788 25 -11.912 -55.599
"84" "Brazil Gossypium hirsutum 2011" 4277.2 0.029 0.125 395.15 0.1002 5 0.2 44.3327306400017 85.3423054417788 25 -11.862 -55.59
"85" "Brazil Gossypium hirsutum 2012" 4033.3 0.016 0.125 260 0 5 0.2 23.8419839063012 100 25 -11.876 -55.61
"86" "Brazil Gossypium hirsutum 2012" 4535.9 0.011 0.083 256.88 0 5 0.2 23.8419839063012 100 25 -11.884 -55.623
"87" "Brazil Gossypium hirsutum 2012" 5239.3 0.119 0.5 322.64 0 5 0.2 23.8419839063012 100 25 -11.842 -55.593
"88" "Brazil Gossypium hirsutum 2012" 5125.4 0 0.042 229.91 0 5 0.2 23.8419839063012 100 25 -11.912 -55.599
"89" "Brazil Gossypium hirsutum 2012" 5773.7 0 0.042 395.15 0 5 0.2 23.8419839063012 100 25 -11.862 -55.59
"90" "Brazil Malus domestica 2010" 4819 11.25 2 43 4.1882 5 0.67 62.2414840876379 58.9392156862745 65 -13.272 -41.413
"91" "Brazil Malus domestica 2010" 8255 6.5 2 43 4.1882 5 0.68 62.2414840876379 58.9392156862745 65 -13.272 -41.413
"92" "Brazil Malus domestica 2010" 16084 3.75 1 43 4.1882 5 0.8 62.2414840876379 58.9392156862745 65 -13.273 -41.416
"93" "Brazil Malus domestica 2010" 9186 4.376 1 43 4.1882 5 0.56 62.2414840876379 58.9392156862745 65 -13.275 -41.416
"94" "Brazil Malus domestica 2010" 6367 4.626 1 43 4.1882 5 0.73 62.2414840876379 58.9392156862745 65 -13.273 -41.416
"95" "Brazil Malus domestica 2010" 11892 4.428 2 43 4.1882 5 0.57 62.2414840876379 58.9392156862745 65 -13.274 -41.412
"96" "Brazil Malus domestica 2010" 11195 8.416 1 43 4.1882 5 0.74 62.2414840876379 58.9392156862745 65 -13.271 -41.415
"97" "Brazil Malus domestica 2010" 15439 9.75 4 43 4.1882 5 0.6 62.2414840876379 58.9392156862745 65 -13.276 -41.411
"98" "Brazil Malus domestica 2011" 29592 9 1 43 4.332 5 0.81 45.9822444798543 43.6524453694069 65 -13.274 -41.414
"99" "Brazil Malus domestica 2011" 18774 5.75 1 43 4.332 5 0.74 45.9822444798543 43.6524453694069 65 -13.274 -41.413
"100" "Brazil Malus domestica 2011" 28800 6.376 1 43 4.332 5 0.56 45.9822444798543 43.6524453694069 65 -13.275 -41.416
"101" "Brazil Malus domestica 2011" 43704 3.688 1 43 4.332 5 0.73 45.9822444798543 43.6524453694069 65 -13.273 -41.416
"102" "Brazil Malus domestica 2011" 35370 4.976 1 43 4.332 5 0.56 45.9822444798543 43.6524453694069 65 -13.275 -41.415
"103" "Brazil Malus domestica 2011" 23940 5.786 1 43 4.332 5 0.56 45.9822444798543 43.6524453694069 65 -13.275 -41.415
"104" "Brazil Malus domestica 2012" 18144 1.166 1 43 1.8996 5 0.67 50.6401766004415 44.4041208147975 65 -13.275 -41.418
"105" "Brazil Malus domestica 2012" 29592 3.084 2 43 1.8996 5 0.87 50.6401766004415 44.4041208147975 65 -13.273 -41.417
"106" "Brazil Malus domestica 2012" 24660 3.166 1 43 1.8996 5 0.86 50.6401766004415 44.4041208147975 65 -13.271 -41.417
"107" "Brazil Malus domestica 2012" 23094 3.584 1 43 1.8996 5 0.67 50.6401766004415 44.4041208147975 65 -13.275 -41.416
"108" "Brazil Malus domestica 2012" 48222 3 1 43 1.8996 5 0.8 50.6401766004415 44.4041208147975 65 -13.273 -41.416
"109" "Brazil Solanum lycopersicum 2010" 70000 1.003 3 0.5 0.2326 5 0.4 32.6145552560647 74.6512641673932 5 -21.398 -41.91
"110" "Brazil Solanum lycopersicum 2010" 40000 0.264 1 2 0.2326 5 0.1 32.6145552560647 74.6512641673932 5 -21.392 -41.91
