"","site_id","sampling_year","management","ab_honeybee","latitude","longitude"
"1","SesCabanasses",2015,"Honeybee hives",686,39.6796666666666,3.22822222222222
"2","SonCos",2015,"Honeybee hives",962,39.6314444444444,2.74722222222222
"3","SonMarrano",2015,"Honeybee hives",664,39.4338333333333,2.94677777777777
"4","SonPujol",2015,"Honeybee hives",1241,39.7208055555555,2.88797222222222
"5","Xorrigo",2015,"Honeybee hives",1146,39.5814722222222,2.80502777777777
"6","SesCabanasses",2016,"Honeybee hives",554,39.6796666666666,3.22822222222222
"7","SonCos",2016,"Honeybee hives",529,39.6314444444444,2.74722222222222
"8","SonMarrano",2016,"Honeybee hives",572,39.4338333333333,2.94677777777777
"9","SonPujol",2016,"Honeybee hives",932,39.7208055555555,2.88797222222222
"10","Xorrigo",2016,"Honeybee hives",448,39.5814722222222,2.80502777777777
