country,crop,pollinator,guild
Argentina,Citrus limon,Apis melifera,honeybees
Argentina,Citrus limon,Bombus atratus,bumblebees
Argentina,Citrus limon,Coleoptera 1,beetles
Argentina,Citrus limon,Coleoptera 2,beetles
Argentina,Citrus limon,Diptero 1,other_flies
Argentina,Citrus limon,Diptero 2,other_flies
Argentina,Citrus limon,Diptero 3,other_flies
Argentina,Citrus limon,Diptero 5,other_flies
Argentina,Citrus limon,Halictidae 1,other_wild_bees
Argentina,Citrus limon,Halictidae 2,other_wild_bees
Argentina,Citrus limon,Ligaidae,other
Argentina,Citrus limon,Mosca domestica,other_flies
Argentina,Citrus limon,Papilio thoas,lepidoptera
Argentina,Citrus limon,Pirpinto amarillo,lepidoptera
Argentina,Citrus limon,Plebeia sp,other_wild_bees
Argentina,Citrus limon,Syrphido,syrphids
Argentina,Citrus limon,Xylocopa eximia,other_wild_bees
Argentina,Citrus paradisi,Andrenidae,other_wild_bees
Argentina,Citrus paradisi,Apis mellifera,honeybees
Argentina,Citrus paradisi,Bombini,other_wild_bees
Argentina,Citrus paradisi,Coleoptera,beetles
Argentina,Citrus paradisi,Diptera,other_flies
Argentina,Citrus paradisi,Halictini,other_wild_bees
Argentina,Citrus paradisi,Hemiptera,other
Argentina,Citrus paradisi,Lepidotera,lepidoptera
Argentina,Citrus paradisi,Megachilidae,other_wild_bees
Argentina,Citrus paradisi,Meliponini,other_wild_bees
Argentina,Citrus paradisi,Vespid,non_bee_hymenoptera
Argentina,Rubus idaeus,Apis mellifera,honeybees
Argentina,Rubus idaeus,Bombus terrestris,bumblebees
Argentina,Rubus idaeus,Ruizantheda proxima,other_wild_bees
Argentina,Rubus idaeus,Ruizanthedella mutabilis,other_wild_bees
Argentina,Vaccinium corymbosum,Allograpta sp1,syrphids
Argentina,Vaccinium corymbosum,Allograpta sp2,syrphids
Argentina,Vaccinium corymbosum,Apis mellifera,honeybees
Argentina,Vaccinium corymbosum,Bombus atratus,bumblebees
Argentina,Vaccinium corymbosum,Syrphus ribessi,syrphids
Argentina,Vaccinium corymbosum,Toxomerus sp1,syrphids
Argentina,Vaccinium corymbosum,Vespidae sp2,non_bee_hymenoptera
Australia,Mangifera indica,Allograpta sp.,syrphids
Australia,Mangifera indica,Apis mellifera,honeybees
Australia,Mangifera indica,Chrysomya sp,other_flies
Australia,Mangifera indica,Eristalinus sp,syrphids
Australia,Mangifera indica,Lucilia sp,other_flies
Australia,Mangifera indica,Stomorhina discolour,other_flies
Australia,Mangifera indica,Stomorhina xanthogaster,non_bee_hymenoptera
Australia,Mangifera indica,Syritta sp,syrphids
Australia,Mangifera indica,Tenebrionidae sp,beetles
Australia,Mangifera indica,Tetragonula carbonaria,other_wild_bees
Brazil,Anacardium occidentale,Apis mellifera,honeybees
Brazil,Anacardium occidentale,Brachygastra lecheguana,non_bee_hymenoptera
Brazil,Anacardium occidentale,Diptera spp.,other_flies
Brazil,Anacardium occidentale,Scaptotrigona sp.1,other_wild_bees
Brazil,Anacardium occidentale,Trigona spinipes,other_wild_bees
Brazil,Anacardium occidentale,Xylocopa cearensis,other_wild_bees
Brazil,Annona squamosa,Apis mellifera,honeybees
Brazil,Bixa orellana,Augochloropsis sp.,other_wild_bees
Brazil,Bixa orellana,Euglossa sp.,other_wild_bees
Brazil,Bixa orellana,Eulaema nigrita,other_wild_bees
Brazil,Bixa orellana,Exomalopsis analis,other_wild_bees
Brazil,Bixa orellana,Megalopta sp.,other_wild_bees
Brazil,Bixa orellana,Melipona subnitida,other_wild_bees
Brazil,Bixa orellana,Trigona spinipes,other_wild_bees
Brazil,Bixa orellana,Xylocopa frontalis,other_wild_bees
Brazil,Bixa orellana,Xylocopa griscescens,other_wild_bees
Brazil,Bixa orellana,Xylocopa muscaria,other_wild_bees
Brazil,Coffea arabica,Apis mellifera,honeybees
Brazil,Coffea arabica,Bombus brevivillus,bumblebees
Brazil,Coffea arabica,Trigona spinipes,other_wild_bees
Brazil,Malpighia emarginata,Centris aenea,other_wild_bees
Brazil,Malpighia emarginata,Centris analis,other_wild_bees
Brazil,Malpighia emarginata,Centris flavifrons,other_wild_bees
Brazil,Malpighia emarginata,Centris fuscata,other_wild_bees
Brazil,Malpighia emarginata,Centris tarsata,other_wild_bees
Brazil,Malpighia emarginata,Trigona spinipes,other_wild_bees
Brazil,Phaseolus vulgaris L.,Allograpta exotica cf.,syrphids
Brazil,Phaseolus vulgaris L.,"Apis mellifera Linnaeus, 1758",honeybees
Brazil,Phaseolus vulgaris L.,Apoidea sp.1,other_wild_bees
