pollinator,matched_name,rank
Vespidae sp2,Vespidae sp2,morphospecies
Allograpta sp1,Allograpta sp1,morphospecies
Allograpta sp2,Allograpta sp2,morphospecies
Eristalis sp1,Eristalis sp1,morphospecies
Eristalis sp2,Eristalis sp2,morphospecies
Toxomerus sp1,Toxomerus sp1,morphospecies
Syrphidae sp3,Syrphidae sp3,morphospecies
Allograpta sp3,Allograpta sp3,morphospecies
Toxomerus sp2,Toxomerus sp2,morphospecies
Vespidae sp1,Vespidae sp1,morphospecies
Syrphidae sp1,Syrphidae sp1,morphospecies
Syrphidae sp4,Syrphidae sp4,morphospecies
Eristalis sp3,Eristalis sp3,morphospecies
Eristalis sp4,Eristalis sp4,morphospecies
Syrphidae sp2,Syrphidae sp2,morphospecies
Vespidae sp3,Vespidae sp3,morphospecies
Apis mellifera,Apis mellifera,species
Bombus atratus,Bombus atratus,species
Bombus belicoso,Bombus,genus
Syrphus ribessi,Syrphus ribesii,species
Ornidia obessa,Ornidia obesa,species
Doclichopodidae,Dolichopodidae,family
Doclichopodidae,Dolichopodinae,subfamily
Muscidae,Muscidae,family
Vanessa braziliensis,Vanessa braziliensis,species
Xylocopa splendidula,Xylocopa splendidula,species
Vanessa carye,Vanessa carye,species
Typhedanus undulatus,Typhedanus undulatus,species
Danaus plexippus,Danaus plexippus,species
Sciaridae sp,Sciaridae,family
Coccinellidae sp,Coccinellidae,family
Tipulidae,Tipulidae,family
Xylocopa augusti,Xylocopa augusti,species
Xylocopa macrops,Xylocopa macrops,species
Sarcophagidae,Sarcophagidae,family
Diptera (ep14),Diptera,order
Calliphora sp.,Calliphora,genus
Phoebis neocypris,Phoebis neocypris,species
Ichneumonidea,NA,NA
Xylocopa ciliata,NA,NA
Sarcophagidae ,NA,NA
