,author,crop,Year_of_study,n,Use,n_dainese
1,Anderson,Brassica_rapa,2010,160,No,
2,Bartomeus,Brassica_sp,2013,240,No,
3,Bommarco_Rundlof,Brassica_napus,2009,30,Yes,
4,Brittain_Klein,Prunus_dulcis,2008,69,Yes,
5,Carvalheiro,Helianthus_annuus,2009,38,No,
6,Carvalheiro,Mangifera_indica,2009,42,No,
7,Chacoff,Citrus_paradisi,2000,372,No,
8,Chacoff,Citrus_paradisi,2001,327,No,
9,Chacoff,Citrus_paradisi,2002,233,No,
10,Cunningham,Annona_squamosa_atemoya,2001,9,Yes,
11,Cunningham,Brassica_napus,2006,6,Yes,
12,Freitas,Annona_muricata_L,2013,16,No,
13,Freitas,Annona_squamosa,2013,16,No,
14,Garratt_potts,Brassica_napus,NA,144,No,
15,garrett,apple,2011,16,No,
16,garrett,field_bean,2011,16,No,
17,garrett,strawberry,2011,16,No,
18,Hipolito,Mangifera_indica,2005,5,Yes,
19,Howlett,Allium_cepa,2004,399,No,Sin OK
20,Howlett,Allium_cepa,2005,355,No,
21,Howlett,Allium_cepa,2006,135,No,
22,Howlett,Allium_cepa,2007,120,No,
23,Howlett,Allium_cepa,2008,61,No,
24,Howlett,Brassica_rapa,2004,423,No,
25,Howlett,Brassica_rapa,2005,191,No,
26,Howlett,Brassica_rapa,2006,89,No,
27,Howlett,Brassica_rapa,2007,151,No,
28,Howlett,Daucus_carota,2005,73,No,
29,Howlett,Daucus_carota,2006,9,No,
30,Howlett,Daucus_carota,2009,9,No,
31,Howlett,Daucus_carota,2010,36,No,
32,Jauker,Brassica_napus,2006,44,Yes,
33,Lindstrom,Brassica_napus,2011,86,Yes,
34,Lindstrom,Brassica_napus,2012,92,Yes,
35,mayfield,Actinidia_kiwi,NA,39,Yes,
36,pisanty_mandelik,Citrullus_lanatus,2009,76,Yes,
37,pisanty_mandelik,Helianthus_annuus,2010,429,Yes,
38,pisanty_mandelik,Helianthus_annuus,2011,531,Yes,
39,Reemer_Kleijn,Malus_domestica,2010,12,Yes,
40,Reemer_Kleijn,Malus_domestica,2011,12,Yes,
41,Reemer_Kleijn,Pyrus_communis,2010,12,Yes,
42,Reemer_Kleijn,Pyrus_communis,2011,12,Yes,
43,Rundlof,Brassica_napus,2011,16,Yes,
44,Rundlof,Brassica_napus,2012,16,Yes,
45,Scheper,Brassica_napus,2011,15,Yes,
46,Scheper,Brassica_napus,2012,12,Yes,
47,Schueep,Prunus_avium,NA,20,Yes,
48,smitha,Coffea_canephora,1900,1,Yes,
49,smitha,Coffea_canephora,2007,60,No,
50,smitha,Coffea_canephora,2008,94,No,
51,smitha,Coffea_canephora,2009,45,No,
52,Stanley_stout,Brassica_napus,2010,129,No,
53,stanley_stout_2dataset,Brassica_napus,2009,20,Yes,
54,Szentgyorgyi,Fagopyrum_esculentum,NA,331,Yes,
55,taki,Fagopyrum_esculentum,2007,45,No,
56,Vergara,Coffea_arabica,2004,64,Yes,
57,Winfree_griffin,Citrullus_lanatus,2008,54,Yes,
58,Winfree_griffin,Citrullus_lanatus,2010,162,Yes,
59,Winfree_griffin,Citrullus_lanatus,2011,162,Yes,
60,Winfree_griffin,Citrullus_lanatus,2012,162,Yes,
