study_id,pollinator
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Andrena sp.1
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Apis mellifera
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Diptera (sp.1)
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Syrphus sp.1
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Syrphus sp. 2 (ribessi or vitripennis)
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Bombus terrestris
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Diptera
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Bombus pascuorum
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Apidea
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Xylocopa violacea
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Apis mellifera
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Bombus terrestris
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Melanostoma sp.
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Andrena flavipes
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Andrena sp.
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Bombus hortorum
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Bombus pascuorum
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Eristalis tenax
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Eupeodes sp.
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Halictus scabiosae
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Halictus sp.
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Sphaerophoria scripta
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Stomorhina lunata
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Syrphus sp.
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Syrrita pipiens
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Andrena thoracica
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Eristalinus taeniops
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Formicidae
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Meliscaeva sp.
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Oedemera nobilis
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Villa sp.
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Bombus sp.
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Cetonia aurata
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Cheilosia sp.
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Isopoda
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Lasioglossum sp.
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Nitidulidae
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Volucella zonaria
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Anthomyiidae
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Choromyia sp.
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Araneus angulatus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Chrysanthia sp.
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Mycterus sp.
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Oxythyrea funesta
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Chrysotoxum festivum
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Sarcophagidae
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Cerceris sp.
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Forficulidae
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Hylaeus sp.
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Melyridae
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Episyrphus balteatus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Scaeva sp.
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Chloromyia sp.
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Vespidae
