pollinator,matched_name,rank
Ceratina sp2,Ceratina sp2,morphospecies
coleoptera sp1_hipolitodataset,coleoptera sp1_hipolitodataset,morphospecies
coleoptera sp2_hipolitodataset,coleoptera sp2_hipolitodataset,morphospecies
coleoptera sp3_hipolitodataset,coleoptera sp3_hipolitodataset,morphospecies
coleoptera sp4_hipolitodataset,coleoptera sp4_hipolitodataset,morphospecies
coleoptera sp5_hipolitodataset,coleoptera sp5_hipolitodataset,morphospecies
coleoptera sp6_hipolitodataset,coleoptera sp6_hipolitodataset,morphospecies
coleoptera sp7_hipolitodataset,coleoptera sp7_hipolitodataset,morphospecies
coleoptera sp8_hipolitodataset,coleoptera sp8_hipolitodataset,morphospecies
coleoptera sp9_hipolitodataset,coleoptera sp9_hipolitodataset,morphospecies
coleoptera sp10_hipolitodataset,coleoptera sp10_hipolitodataset,morphospecies
coleoptera sp11_hipolitodataset,coleoptera sp11_hipolitodataset,morphospecies
Culicidae sp1_hipolitodataset,Culicidae sp1_hipolitodataset,morphospecies
Culicidae sp2_hiploitodataset,Culicidae sp2_hiploitodataset,morphospecies
Culicidae sp3_hipolitodataset,Culicidae sp3_hipolitodataset,morphospecies
Culicidae sp4_hipolitodataset,Culicidae sp4_hipolitodataset,morphospecies
Polistinae sp1_vergaradataset,Polistinae sp1_vergaradataset,morphospecies
Polistinae sp2_vergaradataset,Polistinae sp2_vergaradataset,morphospecies
Pompilidae sp1_hipolitodataset,Pompilidae sp1_hipolitodataset,morphospecies
Vespidae sp1_hipolitodataset,Vespidae sp1_hipolitodataset,morphospecies
Vespidae sp2_hipolitodataset,Vespidae sp2_hipolitodataset,morphospecies
Vespidae sp3_hipolitodataset,Vespidae sp3_hipolitodataset,morphospecies
Vespidae sp5_hipolitodataset,Vespidae sp5_hipolitodataset,morphospecies
Anasimyia lineata,Anasimyia lineata,species
Andrena angustior,Andrena angustior,species
Andrena barbilabris,Andrena barbilabris,species
Andrena bicolor,Andrena bicolor,species
Andrena carantonica,Andrena carantonica,species
Andrena chrysosceles,Andrena chrysosceles,species
Andrena cineraria,Andrena cineraria,species
Andrena distinguenda,Andrena distinguenda,species
Andrena dorsata,Andrena dorsata,species
Andrena flavipes,Andrena flavipes,species
Andrena fucata,Andrena fucata,species
Andrena fulva,Andrena fulva,species
Andrena gravida,Andrena gravida,species
Andrena haemorrhoa,Andrena haemorrhoa,species
Andrena helvola,Andrena helvola,species
Andrena labiata,Andrena labiata,species
Andrena lagopus,Andrena lagopus,species
Andrena minutula_aggregate,Andrena,genus
Andrena nigroaenea,Andrena nigroaenea,species
Andrena nitida,Andrena nitida,species
Andrena praecox,Andrena praecox,species
Andrena subopaca,Andrena subopaca,species
Andrena tibialis,Andrena tibialis,species
Andrena 2_brittaindataset,Andrena,morphospecies
Andrena 3_brittaindataset,Andrena,morphospecies
Andrena 4_brittaindataset,Andrena,morphospecies
Anthophora plumipes,Anthophora plumipes,species
Andrena sp.,Andrena,genus
Anthophora 5,Anthophora,morphospecies
Anthomyiidae sp.,Anthomyiidae,family
Apoidea sp,Apoidea,superfamily
Apis mellifera,Apis mellifera,species
Augochlora sp.,Augochlora,genus
Bombus abuterraneus,Bombus,species
Bombus hortorum,Bombus hortorum,species
Bombus hypnorum,Bombus hypnorum,species
Bombus lucorum_terrestris,Bombus,species
Bombus lucorum,Bombus lucorum,species
Bombus lapidarius,Bombus lapidarius,species
Bombus terrestris_aggregate,Bombus,species
Bombus jonellus,Bombus jonellus,species
Bombus pratorum,Bombus pratorum,species
Bombus pascuorum,Bombus pascuorum,species
Bombus ruderarius,Bombus ruderarius,species
Bombus rupestris,Bombus rupestris,species
Bombus sylvarum,Bombus sylvarum,species
Bombus terrestris,Bombus terrestris,species
Bombus vestalis,Bombus vestalis,species
Bombus 6,Bombus,morphospecies
Bombus 7,Bombus,morphospecies
Bombus spp.,Bombus,genus
Bibionidae sp.,Bibionidae,family
Calliphoridae sp.,Calliphoridae,family
Chalcidoidea sp,Chalcidoidea,superfamily
Cheilosia bergenstammi,Cheilosia bergenstammi,species
Cheilosia pagana,Cheilosia pagana,species
Cheilosia vernalis,Cheilosia vernalis,species
Chironomidae sp.,Chironomidae,family
Chrysotoxum cautum,Chrysotoxum cautum,species
Coccinellidae sp.,Coccinellidae,family
Coccinella sp.,Coccinella,genus
Coccinella septempunctata,Coccinella septempunctata,species
Coleoptera sp.,Coleoptera,order
Curculionoidea,Curculionoidea,superfamily
Dialictus 12,Dialictus,morphospecies
Diptera 2,Diptera,morphospecies
Diptera 3,Diptera,morphospecies
Diptera 4,Diptera,morphospecies
Diptera sp.,Diptera,order
